usage_date,item_code,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-03,RM-037,"Green Raw Papaya",18.21,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-03,RM-038,"Pandan Leaves",3.47,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-03,RM-039,"Red Bell Peppers",10.65,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-03,RM-040,"Red Chili Peppers (Siling Labuyo)",5.4,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-03,RM-041,"Red Onions",18.17,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-03,RM-042,"Unripe Green Saba Bananas",83.15,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-03,RM-043,"Fresh Acetes Shrimp (Alamang)",35.9,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-03,RM-044,"Fresh Bangus (Milkfish) Skin",23.42,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-03,RM-045,"Fresh Chiton Mollusk (Kibit)",51.44,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-03,RM-046,"Fresh Kabasi Fish",26.32,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-03,RM-047,"Fresh Sapsap Fish",22.73,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-03,RM-048,"Cheese Seasoning Powder",7.61,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-03,RM-049,"Coarse Rock Salt",22.06,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-03,RM-050,"Iodized Salt",16.58,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-03,RM-051,"Dried Bay Leaves (Laurel)",2.56,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-03,RM-052,"Dried Red Chili Flakes",5.02,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-03,RM-053,"Garlic Powder",8.29,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-03,RM-054,"Ground Black Pepper",6.26,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-03,RM-055,"White Pepper Powder",3.97,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-03,RM-056,"Whole Black Peppercorns",6.48,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-03,RM-057,"Muscovado Brown Sugar",42.06,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-03,RM-058,"Panutsa Cane Sugar",26.79,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-03,RM-059,"Refined White Sugar",56.15,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",12.91,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-04,RM-002,"Baking Powder",16.85,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-04,RM-003,"Cream of Tartar",3.73,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-04,RM-004,"Instant Dry Yeast",17.79,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-04,RM-005,"Cane Vinegar",26.04,L,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-04,RM-006,"Soy Sauce",29.16,L,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-04,RM-007,"Condensed Milk",26.67,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-04,RM-008,"Evaporated Milk",31.46,L,"Commercial Food Processing","Ube Halaya Processing"
2026-03-04,RM-009,"Powdered Milk",30.35,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-04,RM-010,"Fresh Whole Egg Whites",22.69,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-04,RM-011,"Fresh Whole Eggs",45.22,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-04,RM-012,"All-Vegetable Shortening",37.3,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-04,RM-013,"Baking Shortening",37.03,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-04,RM-014,"Salted Creamery Butter",38.87,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-04,RM-015,"Seedless Raisins",9.09,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-04,RM-016,"Vanilla Extract",3.89,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-04,RM-017,"All-Purpose Wheat Flour",72.21,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-04,RM-018,"Cornstarch",18.09,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-04,RM-019,"Glutinous Rice (Malagkit for Pinipig)",47.77,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-04,RM-020,"Hard Wheat Bread Flour",112.8,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-04,RM-021,"Purified Water",129.49,L,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-04,RM-022,"Cleaned Chicken Crop (Butse)",25.18,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-04,RM-023,"Pork Skin with Back Fat",73.16,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-04,RM-024,"Raw Shelled Peanuts",66.22,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-04,RM-025,"Toasted Sesame Seeds",7.36,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-04,RM-026,"Palm Cooking Oil",67.68,L,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-04,RM-027,"Pure Pork Lard",43.2,L,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-04,RM-028,"Refined Peanut Oil",20.8,L,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-04,RM-029,"Fresh Carrots",15.48,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-04,RM-030,"Fresh Cassava Tubers",39.03,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-04,RM-031,"Fresh Garlic",15.49,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-04,RM-032,"Fresh Ginger",9.98,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-04,RM-033,"Fresh Grated Coconut Meat",29.87,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-04,RM-034,"Fresh Mature Coconut Meat",31.1,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-04,RM-035,"Fresh Purple Yam Tubers",28.3,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-04,RM-036,"Fresh Sweet Potato",24.78,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-04,RM-037,"Green Raw Papaya",20.08,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-04,RM-038,"Pandan Leaves",3.71,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-04,RM-039,"Red Bell Peppers",10.07,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-04,RM-040,"Red Chili Peppers (Siling Labuyo)",5.6,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-04,RM-041,"Red Onions",18.89,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-04,RM-042,"Unripe Green Saba Bananas",91.98,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-04,RM-043,"Fresh Acetes Shrimp (Alamang)",30.17,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-04,RM-044,"Fresh Bangus (Milkfish) Skin",23.47,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-04,RM-045,"Fresh Chiton Mollusk (Kibit)",54,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-04,RM-046,"Fresh Kabasi Fish",27.8,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-04,RM-047,"Fresh Sapsap Fish",23.5,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-04,RM-048,"Cheese Seasoning Powder",7.37,kg,"Commercial Food Processing","Traditional Candied Delicacies"
2026-03-04,RM-049,"Coarse Rock Salt",23.35,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-04,RM-050,"Iodized Salt",18.34,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-04,RM-051,"Dried Bay Leaves (Laurel)",2.21,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-04,RM-052,"Dried Red Chili Flakes",4.58,kg,"Commercial Food Processing","Salted Banana Chips Processing"
2026-03-04,RM-053,"Garlic Powder",8.89,kg,"Commercial Food Processing","Creamy Peanut Butter Grinding"
2026-03-04,RM-054,"Ground Black Pepper",6.51,kg,"Commercial Food Processing","Crunchy Peanut Butter Processing"
2026-03-04,RM-055,"White Pepper Powder",4.32,kg,"Commercial Food Processing","Biscocho Toasting & Coating"
2026-03-04,RM-056,"Whole Black Peppercorns",7.8,kg,"Commercial Food Processing","Ube Halaya Processing"
2026-03-04,RM-057,"Muscovado Brown Sugar",44.29,kg,"Commercial Food Processing","Sweet Cassava Chips Production"
2026-03-04,RM-058,"Panutsa Cane Sugar",28.84,kg,"Commercial Food Processing","Fish Chicharon Batch"
2026-03-04,RM-059,"Refined White Sugar",66.3,kg,"Commercial Food Processing","Spiced Vinegar Blending"
2026-03-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",15.27,kg,"Commercial Food Processing","Kibets (Crispy Chiton Batch)"
2026-03-05,RM-002,"Baking Powder",15.93,kg,"Commercial Food Processing","Binayong Hipon Preparation"
2026-03-05,RM-003,"Cream of Tartar",4.17,kg,"Commercial Food Processing","Crispy Bucheron Frying Batch"
2026-03-05,RM-004,"Instant Dry Yeast",18.69,kg,"Commercial Food Processing","Salted Banana Chips Processing"
