receipt_date,raw_material_name,received_quantity,unit,supplier_name
2026-05-17,"Cocoa Powder",60.89,kg,"Universal Robina Agro-Industrial"
2026-05-28,"Bread Flour",339.57,kg,"San Miguel Mills Corp."
2026-05-28,"All-Purpose Flour",314.99,kg,"Baking Essentials Phils."
2026-05-28,"Refined White Sugar",255.43,kg,"San Miguel Mills Corp."
2026-05-28,"Salted Butter",142.72,kg,"Sweet Delights Supplier Inc."
2026-05-28,"Fresh Eggs",588.09,pcs,"Magnolia Dairy Products"
2026-05-28,"Whole Milk",133,L,"Magnolia Dairy Products"
2026-05-28,"Instant Dry Yeast",56.44,kg,"Sweet Delights Supplier Inc."
2026-05-28,"Iodized Salt",75.27,kg,"Universal Robina Agro-Industrial"
2026-05-28,"Pure Vanilla Extract",27.58,L,"Magnolia Dairy Products"
2026-05-28,"Cocoa Powder",60.15,kg,"Sweet Delights Supplier Inc."
2026-06-08,"Bread Flour",337.84,kg,"Baking Essentials Phils."
2026-06-08,"All-Purpose Flour",292.59,kg,"Sweet Delights Supplier Inc."
2026-06-08,"Refined White Sugar",265.52,kg,"San Miguel Mills Corp."
2026-06-08,"Salted Butter",151.6,kg,"San Miguel Mills Corp."
2026-06-08,"Fresh Eggs",661.27,pcs,"Universal Robina Agro-Industrial"
2026-06-08,"Whole Milk",125.55,L,"Sweet Delights Supplier Inc."
2026-06-08,"Instant Dry Yeast",62.58,kg,"Magnolia Dairy Products"
2026-06-08,"Iodized Salt",81.16,kg,"Sweet Delights Supplier Inc."
2026-06-08,"Pure Vanilla Extract",23.77,L,"Magnolia Dairy Products"
2026-06-08,"Cocoa Powder",61.1,kg,"Baking Essentials Phils."
2026-06-19,"Bread Flour",344.83,kg,"San Miguel Mills Corp."
2026-06-19,"All-Purpose Flour",310.89,kg,"Baking Essentials Phils."
2026-06-19,"Refined White Sugar",238.21,kg,"Magnolia Dairy Products"
2026-06-19,"Salted Butter",160.59,kg,"Sweet Delights Supplier Inc."
2026-06-19,"Fresh Eggs",648.2,pcs,"Golden Harvest Trading"
2026-06-19,"Whole Milk",117.36,L,"San Miguel Mills Corp."
2026-06-19,"Instant Dry Yeast",65.54,kg,"Baking Essentials Phils."
2026-06-19,"Iodized Salt",88.45,kg,"San Miguel Mills Corp."
2026-06-19,"Pure Vanilla Extract",25.33,L,"Sweet Delights Supplier Inc."
2026-06-19,"Cocoa Powder",58.46,kg,"Baking Essentials Phils."
2026-06-30,"Bread Flour",325.73,kg,"Universal Robina Agro-Industrial"
2026-06-30,"All-Purpose Flour",324.75,kg,"Sweet Delights Supplier Inc."
2026-06-30,"Refined White Sugar",256.02,kg,"Magnolia Dairy Products"
2026-06-30,"Salted Butter",153.97,kg,"Golden Harvest Trading"
2026-06-30,"Fresh Eggs",593.47,pcs,"Magnolia Dairy Products"
2026-06-30,"Whole Milk",117.81,L,"Golden Harvest Trading"
2026-06-30,"Instant Dry Yeast",56.34,kg,"Universal Robina Agro-Industrial"
2026-06-30,"Iodized Salt",74.74,kg,"Magnolia Dairy Products"
2026-06-30,"Pure Vanilla Extract",23.23,L,"San Miguel Mills Corp."
2026-06-30,"Cocoa Powder",63.1,kg,"Baking Essentials Phils."
2026-07-11,"Bread Flour",388.71,kg,"Sweet Delights Supplier Inc."
2026-07-11,"All-Purpose Flour",314.58,kg,"Sweet Delights Supplier Inc."
2026-07-11,"Refined White Sugar",259.9,kg,"Golden Harvest Trading"
2026-07-11,"Salted Butter",139.49,kg,"Magnolia Dairy Products"
2026-07-11,"Fresh Eggs",639.45,pcs,"San Miguel Mills Corp."
2026-07-11,"Whole Milk",112.98,L,"Golden Harvest Trading"
2026-07-11,"Instant Dry Yeast",63.63,kg,"San Miguel Mills Corp."
2026-07-11,"Iodized Salt",75.16,kg,"Baking Essentials Phils."
2026-07-11,"Pure Vanilla Extract",26.51,L,"Golden Harvest Trading"
2026-07-11,"Cocoa Powder",59.16,kg,"Sweet Delights Supplier Inc."
2026-07-22,"Bread Flour",377.88,kg,"Universal Robina Agro-Industrial"
2026-07-22,"All-Purpose Flour",316.26,kg,"Magnolia Dairy Products"
2026-07-22,"Refined White Sugar",245.91,kg,"Golden Harvest Trading"
2026-07-22,"Salted Butter",139.2,kg,"Golden Harvest Trading"
2026-07-22,"Fresh Eggs",567.29,pcs,"Sweet Delights Supplier Inc."
2026-07-22,"Whole Milk",131.16,L,"Baking Essentials Phils."
2026-07-22,"Instant Dry Yeast",59.95,kg,"San Miguel Mills Corp."
2026-07-22,"Iodized Salt",77.98,kg,"Baking Essentials Phils."
2026-07-22,"Pure Vanilla Extract",27.89,L,"Magnolia Dairy Products"
2026-07-22,"Cocoa Powder",64.45,kg,"San Miguel Mills Corp."
2026-08-02,"Bread Flour",322.75,kg,"Golden Harvest Trading"
2026-08-02,"All-Purpose Flour",300.32,kg,"Universal Robina Agro-Industrial"
2026-08-02,"Refined White Sugar",232.29,kg,"San Miguel Mills Corp."
2026-08-02,"Salted Butter",160.21,kg,"Universal Robina Agro-Industrial"
2026-08-02,"Fresh Eggs",567.76,pcs,"Universal Robina Agro-Industrial"
2026-08-02,"Whole Milk",119.06,L,"San Miguel Mills Corp."
2026-08-02,"Instant Dry Yeast",62.61,kg,"Universal Robina Agro-Industrial"
2026-08-02,"Iodized Salt",74.19,kg,"Magnolia Dairy Products"
2026-08-02,"Pure Vanilla Extract",27.34,L,"Universal Robina Agro-Industrial"
2026-08-02,"Cocoa Powder",59.55,kg,"Baking Essentials Phils."
2026-08-13,"Bread Flour",365.81,kg,"Baking Essentials Phils."
2026-08-13,"All-Purpose Flour",286.26,kg,"San Miguel Mills Corp."
2026-08-13,"Refined White Sugar",240.22,kg,"Magnolia Dairy Products"
2026-08-13,"Salted Butter",139.87,kg,"San Miguel Mills Corp."
2026-08-13,"Fresh Eggs",646.9,pcs,"Magnolia Dairy Products"
2026-08-13,"Whole Milk",113.37,L,"Sweet Delights Supplier Inc."
2026-08-13,"Instant Dry Yeast",57.78,kg,"Universal Robina Agro-Industrial"
2026-08-13,"Iodized Salt",86.54,kg,"Magnolia Dairy Products"
2026-08-13,"Pure Vanilla Extract",23.93,L,"San Miguel Mills Corp."
2026-08-13,"Cocoa Powder",55.72,kg,"Magnolia Dairy Products"
2026-08-24,"Bread Flour",375.13,kg,"Golden Harvest Trading"
2026-08-24,"All-Purpose Flour",277.18,kg,"Sweet Delights Supplier Inc."
2026-08-24,"Refined White Sugar",270.04,kg,"Baking Essentials Phils."
2026-08-24,"Salted Butter",147.46,kg,"San Miguel Mills Corp."
2026-08-24,"Fresh Eggs",645.33,pcs,"Universal Robina Agro-Industrial"
2026-08-24,"Whole Milk",127.01,L,"Baking Essentials Phils."
2026-08-24,"Instant Dry Yeast",65.47,kg,"Universal Robina Agro-Industrial"
2026-08-24,"Iodized Salt",77.05,kg,"Baking Essentials Phils."
2026-08-24,"Pure Vanilla Extract",23.47,L,"Sweet Delights Supplier Inc."
2026-08-24,"Cocoa Powder",62.32,kg,"Magnolia Dairy Products"
