receipt_date,item_code,raw_material_name,received_quantity,unit,supplier_name
2026-03-01,RM-044,"Fresh Bangus (Milkfish) Skin",163.47,kg,"Magnolia Dairy Products"
2026-03-01,RM-045,"Fresh Chiton Mollusk (Kibit)",324.82,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-046,"Fresh Kabasi Fish",183.32,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-047,"Fresh Sapsap Fish",168.62,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-048,"Cheese Seasoning Powder",54.14,kg,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-049,"Coarse Rock Salt",126.3,kg,"San Miguel Mills Corp."
2026-03-01,RM-050,"Iodized Salt",90.73,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-051,"Dried Bay Leaves (Laurel)",23.05,kg,"Golden Harvest Trading"
2026-03-01,RM-052,"Dried Red Chili Flakes",45.25,kg,"Magnolia Dairy Products"
2026-03-01,RM-053,"Garlic Powder",69.79,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-01,RM-054,"Ground Black Pepper",48.85,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-01,RM-055,"White Pepper Powder",35.75,kg,"Tiaong Highland Agricultural Hub"
2026-03-01,RM-056,"Whole Black Peppercorns",47.05,kg,"Southern Tagalog Food Essentials Inc."
2026-03-01,RM-057,"Muscovado Brown Sugar",203.95,kg,"San Miguel Mills Corp."
2026-03-01,RM-058,"Panutsa Cane Sugar",202.07,kg,"Universal Robina Agro-Industrial"
2026-03-01,RM-059,"Refined White Sugar",531.3,kg,"Golden Harvest Trading"
2026-03-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",64.16,kg,"San Miguel Mills Corp."
2026-03-12,RM-002,"Baking Powder",99.45,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-003,"Cream of Tartar",41.96,kg,"Golden Harvest Trading"
2026-03-12,RM-004,"Instant Dry Yeast",122.31,kg,"Magnolia Dairy Products"
2026-03-12,RM-005,"Cane Vinegar",139.45,L,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-006,"Soy Sauce",185.24,L,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-007,"Condensed Milk",224.59,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-008,"Evaporated Milk",175.82,L,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-009,"Powdered Milk",181.45,kg,"San Miguel Mills Corp."
2026-03-12,RM-010,"Fresh Whole Egg Whites",181.75,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-011,"Fresh Whole Eggs",355.46,kg,"Golden Harvest Trading"
2026-03-12,RM-012,"All-Vegetable Shortening",165.16,kg,"Magnolia Dairy Products"
2026-03-12,RM-013,"Baking Shortening",186.38,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-014,"Salted Creamery Butter",219.36,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-015,"Seedless Raisins",78.87,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-016,"Vanilla Extract",34.19,L,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-017,"All-Purpose Wheat Flour",478.71,kg,"San Miguel Mills Corp."
2026-03-12,RM-018,"Cornstarch",136.13,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-019,"Glutinous Rice (Malagkit for Pinipig)",276.34,kg,"Golden Harvest Trading"
2026-03-12,RM-020,"Hard Wheat Bread Flour",576.82,kg,"Magnolia Dairy Products"
2026-03-12,RM-021,"Purified Water",852.36,L,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-022,"Cleaned Chicken Crop (Butse)",209.66,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-023,"Pork Skin with Back Fat",410.36,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-024,"Raw Shelled Peanuts",374.99,kg,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-025,"Toasted Sesame Seeds",51.01,kg,"San Miguel Mills Corp."
2026-03-12,RM-026,"Palm Cooking Oil",370.88,L,"Universal Robina Agro-Industrial"
2026-03-12,RM-027,"Pure Pork Lard",239.52,L,"Golden Harvest Trading"
2026-03-12,RM-028,"Refined Peanut Oil",154.15,L,"Magnolia Dairy Products"
2026-03-12,RM-029,"Fresh Carrots",122.96,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-030,"Fresh Cassava Tubers",267.41,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-031,"Fresh Garlic",89.56,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-032,"Fresh Ginger",73.03,kg,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-033,"Fresh Grated Coconut Meat",209.8,kg,"San Miguel Mills Corp."
2026-03-12,RM-034,"Fresh Mature Coconut Meat",208.92,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-035,"Fresh Purple Yam Tubers",174.8,kg,"Golden Harvest Trading"
2026-03-12,RM-036,"Fresh Sweet Potato",184.9,kg,"Magnolia Dairy Products"
2026-03-12,RM-037,"Green Raw Papaya",133.81,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-038,"Pandan Leaves",27.82,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-039,"Red Bell Peppers",61.39,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-040,"Red Chili Peppers (Siling Labuyo)",51.58,kg,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-041,"Red Onions",148.08,kg,"San Miguel Mills Corp."
2026-03-12,RM-042,"Unripe Green Saba Bananas",504.22,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-043,"Fresh Acetes Shrimp (Alamang)",205.57,kg,"Golden Harvest Trading"
2026-03-12,RM-044,"Fresh Bangus (Milkfish) Skin",170.7,kg,"Magnolia Dairy Products"
2026-03-12,RM-045,"Fresh Chiton Mollusk (Kibit)",269.78,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-046,"Fresh Kabasi Fish",146.4,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-047,"Fresh Sapsap Fish",187.98,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-048,"Cheese Seasoning Powder",60.18,kg,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-049,"Coarse Rock Salt",141.2,kg,"San Miguel Mills Corp."
2026-03-12,RM-050,"Iodized Salt",85.35,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-051,"Dried Bay Leaves (Laurel)",22.43,kg,"Golden Harvest Trading"
2026-03-12,RM-052,"Dried Red Chili Flakes",39.51,kg,"Magnolia Dairy Products"
2026-03-12,RM-053,"Garlic Powder",67.06,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-12,RM-054,"Ground Black Pepper",51.37,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-12,RM-055,"White Pepper Powder",39.73,kg,"Tiaong Highland Agricultural Hub"
2026-03-12,RM-056,"Whole Black Peppercorns",53.85,kg,"Southern Tagalog Food Essentials Inc."
2026-03-12,RM-057,"Muscovado Brown Sugar",191.54,kg,"San Miguel Mills Corp."
2026-03-12,RM-058,"Panutsa Cane Sugar",182.47,kg,"Universal Robina Agro-Industrial"
2026-03-12,RM-059,"Refined White Sugar",500.39,kg,"Golden Harvest Trading"
2026-03-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",67.4,kg,"San Miguel Mills Corp."
2026-03-23,RM-002,"Baking Powder",92.26,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-003,"Cream of Tartar",41.54,kg,"Golden Harvest Trading"
2026-03-23,RM-004,"Instant Dry Yeast",139.58,kg,"Magnolia Dairy Products"
2026-03-23,RM-005,"Cane Vinegar",164.13,L,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-006,"Soy Sauce",178.84,L,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-007,"Condensed Milk",210.74,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-008,"Evaporated Milk",183.19,L,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-009,"Powdered Milk",164.15,kg,"San Miguel Mills Corp."
2026-03-23,RM-010,"Fresh Whole Egg Whites",185.1,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-011,"Fresh Whole Eggs",371.32,kg,"Golden Harvest Trading"
2026-03-23,RM-012,"All-Vegetable Shortening",190,kg,"Magnolia Dairy Products"
2026-03-23,RM-013,"Baking Shortening",210.78,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-014,"Salted Creamery Butter",223.87,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-015,"Seedless Raisins",69.19,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-016,"Vanilla Extract",32.97,L,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-017,"All-Purpose Wheat Flour",545.76,kg,"San Miguel Mills Corp."
2026-03-23,RM-018,"Cornstarch",132.28,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-019,"Glutinous Rice (Malagkit for Pinipig)",250.84,kg,"Golden Harvest Trading"
2026-03-23,RM-020,"Hard Wheat Bread Flour",490.93,kg,"Magnolia Dairy Products"
2026-03-23,RM-021,"Purified Water",763.71,L,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-022,"Cleaned Chicken Crop (Butse)",176.57,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-023,"Pork Skin with Back Fat",461.27,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-024,"Raw Shelled Peanuts",368.35,kg,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-025,"Toasted Sesame Seeds",55.58,kg,"San Miguel Mills Corp."
2026-03-23,RM-026,"Palm Cooking Oil",361.92,L,"Universal Robina Agro-Industrial"
2026-03-23,RM-027,"Pure Pork Lard",218.06,L,"Golden Harvest Trading"
2026-03-23,RM-028,"Refined Peanut Oil",156.79,L,"Magnolia Dairy Products"
2026-03-23,RM-029,"Fresh Carrots",120.15,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-030,"Fresh Cassava Tubers",272.25,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-031,"Fresh Garlic",103.93,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-032,"Fresh Ginger",75.35,kg,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-033,"Fresh Grated Coconut Meat",184.84,kg,"San Miguel Mills Corp."
2026-03-23,RM-034,"Fresh Mature Coconut Meat",196.7,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-035,"Fresh Purple Yam Tubers",195.85,kg,"Golden Harvest Trading"
2026-03-23,RM-036,"Fresh Sweet Potato",178.78,kg,"Magnolia Dairy Products"
2026-03-23,RM-037,"Green Raw Papaya",143.02,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-038,"Pandan Leaves",27.89,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-039,"Red Bell Peppers",59.69,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-040,"Red Chili Peppers (Siling Labuyo)",44.62,kg,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-041,"Red Onions",143.53,kg,"San Miguel Mills Corp."
2026-03-23,RM-042,"Unripe Green Saba Bananas",552.47,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-043,"Fresh Acetes Shrimp (Alamang)",237.72,kg,"Golden Harvest Trading"
2026-03-23,RM-044,"Fresh Bangus (Milkfish) Skin",154.6,kg,"Magnolia Dairy Products"
2026-03-23,RM-045,"Fresh Chiton Mollusk (Kibit)",271.22,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-046,"Fresh Kabasi Fish",140.06,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-047,"Fresh Sapsap Fish",168.48,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-048,"Cheese Seasoning Powder",69.68,kg,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-049,"Coarse Rock Salt",170.43,kg,"San Miguel Mills Corp."
2026-03-23,RM-050,"Iodized Salt",94.91,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-051,"Dried Bay Leaves (Laurel)",19.14,kg,"Golden Harvest Trading"
2026-03-23,RM-052,"Dried Red Chili Flakes",35.04,kg,"Magnolia Dairy Products"
2026-03-23,RM-053,"Garlic Powder",60.96,kg,"Quezon Coastal Gatherers Cooperative"
2026-03-23,RM-054,"Ground Black Pepper",52.98,kg,"Lucena Aquatic & Fish Port Authority"
2026-03-23,RM-055,"White Pepper Powder",43.51,kg,"Tiaong Highland Agricultural Hub"
2026-03-23,RM-056,"Whole Black Peppercorns",61.43,kg,"Southern Tagalog Food Essentials Inc."
2026-03-23,RM-057,"Muscovado Brown Sugar",197.99,kg,"San Miguel Mills Corp."
2026-03-23,RM-058,"Panutsa Cane Sugar",164.48,kg,"Universal Robina Agro-Industrial"
2026-03-23,RM-059,"Refined White Sugar",494.77,kg,"Golden Harvest Trading"
2026-04-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",69.85,kg,"San Miguel Mills Corp."
2026-04-03,RM-002,"Baking Powder",92.2,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-003,"Cream of Tartar",37.19,kg,"Golden Harvest Trading"
2026-04-03,RM-004,"Instant Dry Yeast",121.45,kg,"Magnolia Dairy Products"
2026-04-03,RM-005,"Cane Vinegar",166.26,L,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-006,"Soy Sauce",212,L,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-007,"Condensed Milk",232.66,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-008,"Evaporated Milk",184.48,L,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-009,"Powdered Milk",173.33,kg,"San Miguel Mills Corp."
2026-04-03,RM-010,"Fresh Whole Egg Whites",166.46,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-011,"Fresh Whole Eggs",349.26,kg,"Golden Harvest Trading"
2026-04-03,RM-012,"All-Vegetable Shortening",207.17,kg,"Magnolia Dairy Products"
2026-04-03,RM-013,"Baking Shortening",222.64,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-014,"Salted Creamery Butter",208.09,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-015,"Seedless Raisins",76.07,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-016,"Vanilla Extract",27.49,L,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-017,"All-Purpose Wheat Flour",545.71,kg,"San Miguel Mills Corp."
2026-04-03,RM-018,"Cornstarch",158.62,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-019,"Glutinous Rice (Malagkit for Pinipig)",297.92,kg,"Golden Harvest Trading"
2026-04-03,RM-020,"Hard Wheat Bread Flour",477.49,kg,"Magnolia Dairy Products"
2026-04-03,RM-021,"Purified Water",623.69,L,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-022,"Cleaned Chicken Crop (Butse)",173.17,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-023,"Pork Skin with Back Fat",445.33,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-024,"Raw Shelled Peanuts",389.73,kg,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-025,"Toasted Sesame Seeds",62.11,kg,"San Miguel Mills Corp."
2026-04-03,RM-026,"Palm Cooking Oil",387.63,L,"Universal Robina Agro-Industrial"
2026-04-03,RM-027,"Pure Pork Lard",207.37,L,"Golden Harvest Trading"
2026-04-03,RM-028,"Refined Peanut Oil",135.04,L,"Magnolia Dairy Products"
2026-04-03,RM-029,"Fresh Carrots",123.09,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-030,"Fresh Cassava Tubers",284.81,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-031,"Fresh Garlic",109.67,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-032,"Fresh Ginger",80.25,kg,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-033,"Fresh Grated Coconut Meat",201.62,kg,"San Miguel Mills Corp."
2026-04-03,RM-034,"Fresh Mature Coconut Meat",168.41,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-035,"Fresh Purple Yam Tubers",165.42,kg,"Golden Harvest Trading"
2026-04-03,RM-036,"Fresh Sweet Potato",210.77,kg,"Magnolia Dairy Products"
2026-04-03,RM-037,"Green Raw Papaya",137.25,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-038,"Pandan Leaves",30.89,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-039,"Red Bell Peppers",60.94,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-040,"Red Chili Peppers (Siling Labuyo)",46.2,kg,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-041,"Red Onions",121.92,kg,"San Miguel Mills Corp."
2026-04-03,RM-042,"Unripe Green Saba Bananas",497.92,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-043,"Fresh Acetes Shrimp (Alamang)",250.24,kg,"Golden Harvest Trading"
2026-04-03,RM-044,"Fresh Bangus (Milkfish) Skin",201.94,kg,"Magnolia Dairy Products"
2026-04-03,RM-045,"Fresh Chiton Mollusk (Kibit)",297.47,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-046,"Fresh Kabasi Fish",142.19,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-047,"Fresh Sapsap Fish",161.24,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-048,"Cheese Seasoning Powder",63.54,kg,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-049,"Coarse Rock Salt",150.16,kg,"San Miguel Mills Corp."
2026-04-03,RM-050,"Iodized Salt",110.51,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-051,"Dried Bay Leaves (Laurel)",24.19,kg,"Golden Harvest Trading"
2026-04-03,RM-052,"Dried Red Chili Flakes",35.81,kg,"Magnolia Dairy Products"
2026-04-03,RM-053,"Garlic Powder",52.87,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-03,RM-054,"Ground Black Pepper",53.49,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-03,RM-055,"White Pepper Powder",44,kg,"Tiaong Highland Agricultural Hub"
2026-04-03,RM-056,"Whole Black Peppercorns",62.56,kg,"Southern Tagalog Food Essentials Inc."
2026-04-03,RM-057,"Muscovado Brown Sugar",212.06,kg,"San Miguel Mills Corp."
2026-04-03,RM-058,"Panutsa Cane Sugar",153.8,kg,"Universal Robina Agro-Industrial"
2026-04-03,RM-059,"Refined White Sugar",451.19,kg,"Golden Harvest Trading"
2026-04-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",83.74,kg,"San Miguel Mills Corp."
2026-04-14,RM-002,"Baking Powder",87.56,kg,"Universal Robina Agro-Industrial"
2026-04-14,RM-003,"Cream of Tartar",32.25,kg,"Golden Harvest Trading"
2026-04-14,RM-004,"Instant Dry Yeast",113.26,kg,"Magnolia Dairy Products"
2026-04-14,RM-005,"Cane Vinegar",163.85,L,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-006,"Soy Sauce",207.48,L,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-007,"Condensed Milk",250.75,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-008,"Evaporated Milk",174.03,L,"Southern Tagalog Food Essentials Inc."
2026-04-14,RM-009,"Powdered Milk",165.66,kg,"San Miguel Mills Corp."
2026-04-14,RM-010,"Fresh Whole Egg Whites",138.79,kg,"Universal Robina Agro-Industrial"
2026-04-14,RM-011,"Fresh Whole Eggs",338.55,kg,"Golden Harvest Trading"
2026-04-14,RM-012,"All-Vegetable Shortening",206.95,kg,"Magnolia Dairy Products"
2026-04-14,RM-013,"Baking Shortening",218.02,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-014,"Salted Creamery Butter",239.07,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-015,"Seedless Raisins",67.31,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-016,"Vanilla Extract",24.96,L,"Southern Tagalog Food Essentials Inc."
2026-04-14,RM-017,"All-Purpose Wheat Flour",522.62,kg,"San Miguel Mills Corp."
2026-04-14,RM-018,"Cornstarch",141.05,kg,"Universal Robina Agro-Industrial"
2026-04-14,RM-019,"Glutinous Rice (Malagkit for Pinipig)",329.22,kg,"Golden Harvest Trading"
2026-04-14,RM-020,"Hard Wheat Bread Flour",577.83,kg,"Magnolia Dairy Products"
2026-04-14,RM-021,"Purified Water",620.88,L,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-022,"Cleaned Chicken Crop (Butse)",157.73,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-023,"Pork Skin with Back Fat",392.77,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-024,"Raw Shelled Peanuts",379.46,kg,"Southern Tagalog Food Essentials Inc."
2026-04-14,RM-025,"Toasted Sesame Seeds",69.47,kg,"San Miguel Mills Corp."
2026-04-14,RM-026,"Palm Cooking Oil",433.33,L,"Universal Robina Agro-Industrial"
2026-04-14,RM-027,"Pure Pork Lard",238.41,L,"Golden Harvest Trading"
2026-04-14,RM-028,"Refined Peanut Oil",115.95,L,"Magnolia Dairy Products"
2026-04-14,RM-029,"Fresh Carrots",112.85,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-030,"Fresh Cassava Tubers",277.82,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-031,"Fresh Garlic",112.28,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-032,"Fresh Ginger",75.71,kg,"Southern Tagalog Food Essentials Inc."
2026-04-14,RM-033,"Fresh Grated Coconut Meat",207.98,kg,"San Miguel Mills Corp."
2026-04-14,RM-034,"Fresh Mature Coconut Meat",161.34,kg,"Universal Robina Agro-Industrial"
2026-04-14,RM-035,"Fresh Purple Yam Tubers",159.4,kg,"Golden Harvest Trading"
2026-04-14,RM-036,"Fresh Sweet Potato",183.52,kg,"Magnolia Dairy Products"
2026-04-14,RM-037,"Green Raw Papaya",154.99,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-038,"Pandan Leaves",29,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-039,"Red Bell Peppers",61.78,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-040,"Red Chili Peppers (Siling Labuyo)",42.49,kg,"Southern Tagalog Food Essentials Inc."
2026-04-14,RM-041,"Red Onions",124.89,kg,"San Miguel Mills Corp."
2026-04-14,RM-042,"Unripe Green Saba Bananas",448.15,kg,"Universal Robina Agro-Industrial"
2026-04-14,RM-043,"Fresh Acetes Shrimp (Alamang)",234.27,kg,"Golden Harvest Trading"
2026-04-14,RM-044,"Fresh Bangus (Milkfish) Skin",207.02,kg,"Magnolia Dairy Products"
2026-04-14,RM-045,"Fresh Chiton Mollusk (Kibit)",322.51,kg,"Quezon Coastal Gatherers Cooperative"
2026-04-14,RM-046,"Fresh Kabasi Fish",124.88,kg,"Lucena Aquatic & Fish Port Authority"
2026-04-14,RM-047,"Fresh Sapsap Fish",144.79,kg,"Tiaong Highland Agricultural Hub"
2026-04-14,RM-048,"Cheese Seasoning Powder",57.95,kg,"Southern Tagalog Food Essentials Inc."
