usage_date,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-06,"Bread Flour",25.17,kg,"Baking Production Batch","Butter Croissants"
2026-03-06,"All-Purpose Flour",24.13,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-06,"Refined White Sugar",14.81,kg,"Baking Production Batch","French Baguette"
2026-03-06,"Salted Butter",8.98,kg,"Baking Production Batch","Classic Pandesal"
2026-03-06,"Fresh Eggs",41.47,pcs,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-06,"Whole Milk",7.5,L,"Baking Production Batch","Butter Croissants"
2026-03-06,"Instant Dry Yeast",1.59,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-06,"Iodized Salt",2.46,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-06,"Pure Vanilla Extract",0.59,L,"Baking Production Batch","French Baguette"
2026-03-06,"Cocoa Powder",3.18,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-07,"Bread Flour",41.01,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-07,"All-Purpose Flour",28.94,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-07,"Refined White Sugar",25.66,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-07,"Salted Butter",14.25,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-07,"Fresh Eggs",66.51,pcs,"Baking Production Batch","French Baguette"
2026-03-07,"Whole Milk",12.18,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-07,"Instant Dry Yeast",2.24,kg,"Baking Production Batch","French Baguette"
2026-03-07,"Iodized Salt",3.42,kg,"Baking Production Batch","Butter Croissants"
2026-03-07,"Pure Vanilla Extract",0.77,L,"Baking Production Batch","French Baguette"
2026-03-07,"Cocoa Powder",4.59,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-08,"Bread Flour",43.99,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-08,"All-Purpose Flour",34.34,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-08,"Refined White Sugar",24.65,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-08,"Salted Butter",13.4,kg,"Baking Production Batch","Butter Croissants"
2026-03-08,"Fresh Eggs",57.2,pcs,"Baking Production Batch","French Baguette"
2026-03-08,"Whole Milk",12.44,L,"Baking Production Batch","Butter Croissants"
2026-03-08,"Instant Dry Yeast",2.42,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-08,"Iodized Salt",2.92,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-08,"Pure Vanilla Extract",0.78,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-08,"Cocoa Powder",4.79,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-09,"Bread Flour",28.8,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-09,"All-Purpose Flour",24.27,kg,"Baking Production Batch","Classic Pandesal"
2026-03-09,"Refined White Sugar",17.25,kg,"Baking Production Batch","Brioche Buns"
2026-03-09,"Salted Butter",11.16,kg,"Baking Production Batch","French Baguette"
2026-03-09,"Fresh Eggs",47.26,pcs,"Baking Production Batch","French Baguette"
2026-03-09,"Whole Milk",7.53,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-09,"Instant Dry Yeast",1.79,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-09,"Iodized Salt",2.02,kg,"Baking Production Batch","Butter Croissants"
2026-03-09,"Pure Vanilla Extract",0.53,L,"Baking Production Batch","Brioche Buns"
2026-03-09,"Cocoa Powder",3.49,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-10,"Bread Flour",32.11,kg,"Baking Production Batch","Classic Pandesal"
2026-03-10,"All-Purpose Flour",22.29,kg,"Baking Production Batch","Classic Pandesal"
2026-03-10,"Refined White Sugar",18.33,kg,"Baking Production Batch","Butter Croissants"
2026-03-10,"Salted Butter",10.03,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-10,"Fresh Eggs",42.83,pcs,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-10,"Whole Milk",7.58,L,"Baking Production Batch","Butter Croissants"
2026-03-10,"Instant Dry Yeast",1.79,kg,"Baking Production Batch","French Baguette"
2026-03-10,"Iodized Salt",2.45,kg,"Baking Production Batch","Classic Pandesal"
2026-03-10,"Pure Vanilla Extract",0.62,L,"Baking Production Batch","Butter Croissants"
2026-03-10,"Cocoa Powder",3.85,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-11,"Bread Flour",26.48,kg,"Baking Production Batch","Classic Pandesal"
2026-03-11,"All-Purpose Flour",20.56,kg,"Baking Production Batch","Brioche Buns"
2026-03-11,"Refined White Sugar",15.79,kg,"Baking Production Batch","Classic Pandesal"
2026-03-11,"Salted Butter",10.02,kg,"Baking Production Batch","Brioche Buns"
2026-03-11,"Fresh Eggs",42.96,pcs,"Baking Production Batch","Ensaymada Especial"
2026-03-11,"Whole Milk",7.79,L,"Baking Production Batch","French Baguette"
2026-03-11,"Instant Dry Yeast",1.99,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-11,"Iodized Salt",1.98,kg,"Baking Production Batch","Brioche Buns"
2026-03-11,"Pure Vanilla Extract",0.65,L,"Baking Production Batch","Classic Pandesal"
2026-03-11,"Cocoa Powder",3.36,kg,"Baking Production Batch","French Baguette"
2026-03-12,"Bread Flour",30.28,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-12,"All-Purpose Flour",23.52,kg,"Baking Production Batch","Brioche Buns"
2026-03-12,"Refined White Sugar",16.79,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-12,"Salted Butter",11.42,kg,"Baking Production Batch","French Baguette"
2026-03-12,"Fresh Eggs",49.41,pcs,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-12,"Whole Milk",7.96,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-12,"Instant Dry Yeast",1.99,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-12,"Iodized Salt",1.95,kg,"Baking Production Batch","Classic Pandesal"
2026-03-12,"Pure Vanilla Extract",0.67,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-12,"Cocoa Powder",3.48,kg,"Baking Production Batch","Brioche Buns"
2026-03-13,"Bread Flour",29.77,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-13,"All-Purpose Flour",22.16,kg,"Baking Production Batch","Classic Pandesal"
2026-03-13,"Refined White Sugar",17.52,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-13,"Salted Butter",9.04,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-13,"Fresh Eggs",49.06,pcs,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-13,"Whole Milk",8.55,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-13,"Instant Dry Yeast",2.02,kg,"Baking Production Batch","Butter Croissants"
2026-03-13,"Iodized Salt",2.12,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-13,"Pure Vanilla Extract",0.56,L,"Baking Production Batch","Butter Croissants"
2026-03-13,"Cocoa Powder",3.81,kg,"Baking Production Batch","Brioche Buns"
2026-03-14,"Bread Flour",42.05,kg,"Baking Production Batch","Brioche Buns"
2026-03-14,"All-Purpose Flour",29.01,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-14,"Refined White Sugar",23.72,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-14,"Salted Butter",15.17,kg,"Baking Production Batch","French Baguette"
2026-03-14,"Fresh Eggs",59.63,pcs,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-14,"Whole Milk",12.01,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-14,"Instant Dry Yeast",2.84,kg,"Baking Production Batch","Butter Croissants"
2026-03-14,"Iodized Salt",3.09,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-14,"Pure Vanilla Extract",0.8,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-14,"Cocoa Powder",4.99,kg,"Baking Production Batch","Classic Pandesal"
2026-03-15,"Bread Flour",40,kg,"Baking Production Batch","Butter Croissants"
2026-03-15,"All-Purpose Flour",32.36,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-15,"Refined White Sugar",20.94,kg,"Baking Production Batch","Classic Pandesal"
2026-03-15,"Salted Butter",15.63,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-15,"Fresh Eggs",58.87,pcs,"Baking Production Batch","Butter Croissants"
2026-03-15,"Whole Milk",11.38,L,"Baking Production Batch","Classic Pandesal"
2026-03-15,"Instant Dry Yeast",2.24,kg,"Baking Production Batch","French Baguette"
2026-03-15,"Iodized Salt",2.94,kg,"Baking Production Batch","French Baguette"
2026-03-15,"Pure Vanilla Extract",0.87,L,"Baking Production Batch","French Baguette"
2026-03-15,"Cocoa Powder",4.89,kg,"Baking Production Batch","Brioche Buns"
2026-03-16,"Bread Flour",26.26,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-16,"All-Purpose Flour",24.21,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-16,"Refined White Sugar",16.71,kg,"Baking Production Batch","French Baguette"
2026-03-16,"Salted Butter",11.34,kg,"Baking Production Batch","French Baguette"
2026-03-16,"Fresh Eggs",49.99,pcs,"Baking Production Batch","Butter Croissants"
2026-03-16,"Whole Milk",8.05,L,"Baking Production Batch","Classic Pandesal"
2026-03-16,"Instant Dry Yeast",2.02,kg,"Baking Production Batch","Butter Croissants"
2026-03-16,"Iodized Salt",2.07,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-16,"Pure Vanilla Extract",0.61,L,"Baking Production Batch","Brioche Buns"
2026-03-16,"Cocoa Powder",3.1,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-17,"Bread Flour",25.27,kg,"Baking Production Batch","Brioche Buns"
2026-03-17,"All-Purpose Flour",23.17,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-17,"Refined White Sugar",17.41,kg,"Baking Production Batch","Brioche Buns"
2026-03-17,"Salted Butter",10.84,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-17,"Fresh Eggs",43.95,pcs,"Baking Production Batch","Butter Croissants"
2026-03-17,"Whole Milk",9.15,L,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-17,"Instant Dry Yeast",1.87,kg,"Baking Production Batch","Brioche Buns"
2026-03-17,"Iodized Salt",2.21,kg,"Baking Production Batch","Butter Croissants"
2026-03-17,"Pure Vanilla Extract",0.61,L,"Baking Production Batch","Classic Pandesal"
2026-03-17,"Cocoa Powder",3.7,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-18,"Bread Flour",28.4,kg,"Baking Production Batch","French Baguette"
2026-03-18,"All-Purpose Flour",22.59,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-18,"Refined White Sugar",17.43,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-18,"Salted Butter",9.5,kg,"Baking Production Batch","Butter Croissants"
2026-03-18,"Fresh Eggs",50.3,pcs,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-18,"Whole Milk",8.87,L,"Baking Production Batch","Brioche Buns"
2026-03-18,"Instant Dry Yeast",1.92,kg,"Baking Production Batch","Butter Croissants"
2026-03-18,"Iodized Salt",1.94,kg,"Baking Production Batch","Brioche Buns"
2026-03-18,"Pure Vanilla Extract",0.68,L,"Baking Production Batch","Ensaymada Especial"
2026-03-18,"Cocoa Powder",3.87,kg,"Baking Production Batch","Brioche Buns"
2026-03-19,"Bread Flour",30.17,kg,"Baking Production Batch","Classic Pandesal"
2026-03-19,"All-Purpose Flour",20.88,kg,"Baking Production Batch","Classic Pandesal"
2026-03-19,"Refined White Sugar",15.61,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-19,"Salted Butter",9.58,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-19,"Fresh Eggs",50.82,pcs,"Baking Production Batch","Classic Pandesal"
2026-03-19,"Whole Milk",9.02,L,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-19,"Instant Dry Yeast",1.69,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-19,"Iodized Salt",2.27,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-19,"Pure Vanilla Extract",0.64,L,"Baking Production Batch","Brioche Buns"
2026-03-19,"Cocoa Powder",3.53,kg,"Baking Production Batch","Butter Croissants"
2026-03-20,"Bread Flour",30.97,kg,"Baking Production Batch","French Baguette"
2026-03-20,"All-Purpose Flour",22.4,kg,"Baking Production Batch","Butter Croissants"
2026-03-20,"Refined White Sugar",15.35,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-20,"Salted Butter",10.07,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-20,"Fresh Eggs",40.47,pcs,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-20,"Whole Milk",9.29,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-20,"Instant Dry Yeast",1.59,kg,"Baking Production Batch","Butter Croissants"
2026-03-20,"Iodized Salt",2.16,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-20,"Pure Vanilla Extract",0.65,L,"Baking Production Batch","Classic Pandesal"
2026-03-20,"Cocoa Powder",3.36,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-21,"Bread Flour",45.02,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-21,"All-Purpose Flour",32.69,kg,"Baking Production Batch","Butter Croissants"
2026-03-21,"Refined White Sugar",20.44,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-21,"Salted Butter",15.41,kg,"Baking Production Batch","Classic Pandesal"
2026-03-21,"Fresh Eggs",67.15,pcs,"Baking Production Batch","Brioche Buns"
2026-03-21,"Whole Milk",13.04,L,"Baking Production Batch","Butter Croissants"
2026-03-21,"Instant Dry Yeast",2.59,kg,"Baking Production Batch","Brioche Buns"
2026-03-21,"Iodized Salt",3.38,kg,"Baking Production Batch","Classic Pandesal"
2026-03-21,"Pure Vanilla Extract",0.84,L,"Baking Production Batch","Classic Pandesal"
2026-03-21,"Cocoa Powder",4.81,kg,"Baking Production Batch","Butter Croissants"
2026-03-22,"Bread Flour",37.66,kg,"Baking Production Batch","Brioche Buns"
2026-03-22,"All-Purpose Flour",33.9,kg,"Baking Production Batch","French Baguette"
2026-03-22,"Refined White Sugar",23.59,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-22,"Salted Butter",13.37,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-22,"Fresh Eggs",63.54,pcs,"Baking Production Batch","Brioche Buns"
2026-03-22,"Whole Milk",11.43,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-22,"Instant Dry Yeast",2.53,kg,"Baking Production Batch","Classic Pandesal"
2026-03-22,"Iodized Salt",3.22,kg,"Baking Production Batch","Classic Pandesal"
2026-03-22,"Pure Vanilla Extract",0.89,L,"Baking Production Batch","Brioche Buns"
2026-03-22,"Cocoa Powder",4.36,kg,"Baking Production Batch","Classic Pandesal"
2026-03-23,"Bread Flour",26.06,kg,"Baking Production Batch","Butter Croissants"
2026-03-23,"All-Purpose Flour",24.03,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-23,"Refined White Sugar",16.08,kg,"Baking Production Batch","Butter Croissants"
2026-03-23,"Salted Butter",10.98,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-23,"Fresh Eggs",43.13,pcs,"Baking Production Batch","Classic Pandesal"
2026-03-23,"Whole Milk",9.43,L,"Baking Production Batch","Brioche Buns"
2026-03-23,"Instant Dry Yeast",1.8,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-23,"Iodized Salt",1.98,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-23,"Pure Vanilla Extract",0.65,L,"Baking Production Batch","Butter Croissants"
2026-03-23,"Cocoa Powder",3.43,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-24,"Bread Flour",27.88,kg,"Baking Production Batch","French Baguette"
2026-03-24,"All-Purpose Flour",22.79,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-24,"Refined White Sugar",17.91,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-24,"Salted Butter",10.26,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-24,"Fresh Eggs",46.25,pcs,"Baking Production Batch","French Baguette"
2026-03-24,"Whole Milk",8.87,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-24,"Instant Dry Yeast",1.98,kg,"Baking Production Batch","Brioche Buns"
2026-03-24,"Iodized Salt",2.48,kg,"Baking Production Batch","Brioche Buns"
2026-03-24,"Pure Vanilla Extract",0.58,L,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-24,"Cocoa Powder",3.9,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-25,"Bread Flour",25.65,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-25,"All-Purpose Flour",19.68,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-25,"Refined White Sugar",15.23,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-25,"Salted Butter",10.91,kg,"Baking Production Batch","French Baguette"
2026-03-25,"Fresh Eggs",44.76,pcs,"Baking Production Batch","Ensaymada Especial"
2026-03-25,"Whole Milk",9.18,L,"Baking Production Batch","Classic Pandesal"
2026-03-25,"Instant Dry Yeast",1.62,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-25,"Iodized Salt",2.24,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-25,"Pure Vanilla Extract",0.64,L,"Baking Production Batch","Butter Croissants"
2026-03-25,"Cocoa Powder",3.74,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-26,"Bread Flour",25.27,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-26,"All-Purpose Flour",24.74,kg,"Baking Production Batch","Classic Pandesal"
2026-03-26,"Refined White Sugar",18.18,kg,"Baking Production Batch","Butter Croissants"
2026-03-26,"Salted Butter",9.47,kg,"Baking Production Batch","Brioche Buns"
2026-03-26,"Fresh Eggs",39.71,pcs,"Baking Production Batch","Ensaymada Especial"
2026-03-26,"Whole Milk",9.49,L,"Baking Production Batch","French Baguette"
2026-03-26,"Instant Dry Yeast",2.01,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-26,"Iodized Salt",2.22,kg,"Baking Production Batch","Butter Croissants"
2026-03-26,"Pure Vanilla Extract",0.65,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-26,"Cocoa Powder",3.69,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-27,"Bread Flour",31.95,kg,"Baking Production Batch","Classic Pandesal"
2026-03-27,"All-Purpose Flour",21.68,kg,"Baking Production Batch","Classic Pandesal"
2026-03-27,"Refined White Sugar",18.01,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-27,"Salted Butter",10.95,kg,"Baking Production Batch","Classic Pandesal"
2026-03-27,"Fresh Eggs",46.27,pcs,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-27,"Whole Milk",8.61,L,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-27,"Instant Dry Yeast",1.89,kg,"Baking Production Batch","Brioche Buns"
2026-03-27,"Iodized Salt",2.42,kg,"Baking Production Batch","Brioche Buns"
2026-03-27,"Pure Vanilla Extract",0.64,L,"Baking Production Batch","French Baguette"
2026-03-27,"Cocoa Powder",3.75,kg,"Baking Production Batch","Classic Pandesal"
2026-03-28,"Bread Flour",39.59,kg,"Baking Production Batch","French Baguette"
2026-03-28,"All-Purpose Flour",29.41,kg,"Baking Production Batch","French Baguette"
2026-03-28,"Refined White Sugar",25.19,kg,"Baking Production Batch","Butter Croissants"
2026-03-28,"Salted Butter",14.04,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-28,"Fresh Eggs",63.01,pcs,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-28,"Whole Milk",11.22,L,"Baking Production Batch","Classic Pandesal"
2026-03-28,"Instant Dry Yeast",2.73,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-28,"Iodized Salt",3.28,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-28,"Pure Vanilla Extract",0.8,L,"Baking Production Batch","Ensaymada Especial"
2026-03-28,"Cocoa Powder",4.7,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-29,"Bread Flour",41.12,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-29,"All-Purpose Flour",29.96,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-29,"Refined White Sugar",25.74,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-29,"Salted Butter",13.81,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-29,"Fresh Eggs",70.26,pcs,"Baking Production Batch","French Baguette"
2026-03-29,"Whole Milk",11.12,L,"Baking Production Batch","Brioche Buns"
2026-03-29,"Instant Dry Yeast",2.4,kg,"Baking Production Batch","Chocolate Chiffon Cake"
2026-03-29,"Iodized Salt",2.95,kg,"Baking Production Batch","Butter Croissants"
2026-03-29,"Pure Vanilla Extract",0.81,L,"Baking Production Batch","French Baguette"
2026-03-29,"Cocoa Powder",4.75,kg,"Baking Production Batch","Brioche Buns"
2026-03-30,"Bread Flour",26.9,kg,"Baking Production Batch","Brioche Buns"
2026-03-30,"All-Purpose Flour",20.67,kg,"Baking Production Batch","French Baguette"
2026-03-30,"Refined White Sugar",18.26,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-30,"Salted Butter",9.24,kg,"Baking Production Batch","Butter Croissants"
2026-03-30,"Fresh Eggs",47.14,pcs,"Baking Production Batch","Brioche Buns"
2026-03-30,"Whole Milk",8.53,L,"Baking Production Batch","French Baguette"
2026-03-30,"Instant Dry Yeast",1.6,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-30,"Iodized Salt",2.23,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-30,"Pure Vanilla Extract",0.53,L,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-30,"Cocoa Powder",3.59,kg,"Baking Production Batch","Artisan Sourdough Loaf"
2026-03-31,"Bread Flour",26.35,kg,"Baking Production Batch","Brioche Buns"
2026-03-31,"All-Purpose Flour",21.52,kg,"Baking Production Batch","Brioche Buns"
2026-03-31,"Refined White Sugar",18.41,kg,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-31,"Salted Butter",11.41,kg,"Baking Production Batch","Butter Croissants"
2026-03-31,"Fresh Eggs",43.23,pcs,"Baking Production Batch","Chocolate Chip Cookies"
2026-03-31,"Whole Milk",9.09,L,"Baking Production Batch","Butter Croissants"
2026-03-31,"Instant Dry Yeast",1.68,kg,"Baking Production Batch","Brioche Buns"
2026-03-31,"Iodized Salt",2.22,kg,"Baking Production Batch","Ensaymada Especial"
2026-03-31,"Pure Vanilla Extract",0.62,L,"Baking Production Batch","Chocolate Chiffon Cake"
