usage_date,raw_material_name,consumed_quantity,unit,activity_type,finished_product_name
2026-03-02,"Turmeric Powder",59.29,g,"Production Batch Processing","Salted Banana Chips"
2026-03-02,"Water",30.99,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-03,"Bell Pepper",119.87,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-03,"Butter/Margarine",403.26,g,"Production Batch Processing","Binayong Hipon"
2026-03-03,"Cabbage",266.12,g,"Production Batch Processing","Crispy Bucheron"
2026-03-03,"Carrots",238.77,g,"Production Batch Processing","Salted Banana Chips"
2026-03-03,"Chicken",907.51,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-03,"Chiton",1700.56,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-03,"Cooking Oil",13.36,L,"Production Batch Processing","Biscocho Chips"
2026-03-03,"Garlic",200.91,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-03,"Ground Pepper",45.71,g,"Production Batch Processing","Binayong Hipon"
2026-03-03,"Honey",324.24,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-03,"Loaf Bread",5.62,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-03,"Onion",311.37,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-03,"Oyster Sauce",107.59,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-03,"Peanuts",1942.55,g,"Production Batch Processing","Biscocho Chips"
2026-03-03,"Pork",1018.94,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-03,"Pork Skin",2013.33,g,"Production Batch Processing","Binayong Hipon"
2026-03-03,"Raw Bananas",2485.78,g,"Production Batch Processing","Crispy Bucheron"
2026-03-03,"Salt",201.43,g,"Production Batch Processing","Salted Banana Chips"
2026-03-03,"Sea Salt",102.08,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-03,"Sesame Oil",61.33,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-03,"Small Shrimp",2461.51,g,"Production Batch Processing","Biscocho Chips"
2026-03-03,"Soy Sauce",168.7,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-03,"Spring Onion",122.54,g,"Production Batch Processing","Binayong Hipon"
2026-03-03,"Sugar",405.66,g,"Production Batch Processing","Crispy Bucheron"
2026-03-03,"Turmeric Powder",48.62,g,"Production Batch Processing","Salted Banana Chips"
2026-03-03,"Water",36.33,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-04,"Bell Pepper",123.48,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-04,"Butter/Margarine",403.45,g,"Production Batch Processing","Binayong Hipon"
2026-03-04,"Cabbage",293.87,g,"Production Batch Processing","Crispy Bucheron"
2026-03-04,"Carrots",210.64,g,"Production Batch Processing","Salted Banana Chips"
2026-03-04,"Chicken",919.55,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-04,"Chiton",1532.82,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-04,"Cooking Oil",11.06,L,"Production Batch Processing","Biscocho Chips"
2026-03-04,"Garlic",193.46,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-04,"Ground Pepper",48.13,g,"Production Batch Processing","Binayong Hipon"
2026-03-04,"Honey",328.63,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-04,"Loaf Bread",6.28,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-04,"Onion",273.49,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-04,"Oyster Sauce",104.61,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-04,"Peanuts",1851.5,g,"Production Batch Processing","Biscocho Chips"
2026-03-04,"Pork",930.8,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-04,"Pork Skin",1730.35,g,"Production Batch Processing","Binayong Hipon"
2026-03-04,"Raw Bananas",2771.84,g,"Production Batch Processing","Crispy Bucheron"
2026-03-04,"Salt",206,g,"Production Batch Processing","Salted Banana Chips"
2026-03-04,"Sea Salt",86.92,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-04,"Sesame Oil",66.86,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-04,"Small Shrimp",2509.09,g,"Production Batch Processing","Biscocho Chips"
2026-03-04,"Soy Sauce",161.59,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-04,"Spring Onion",113.78,g,"Production Batch Processing","Binayong Hipon"
2026-03-04,"Sugar",395.95,g,"Production Batch Processing","Crispy Bucheron"
2026-03-04,"Turmeric Powder",55.54,g,"Production Batch Processing","Salted Banana Chips"
2026-03-04,"Water",34.17,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-05,"Bell Pepper",121.78,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-05,"Butter/Margarine",410.3,g,"Production Batch Processing","Binayong Hipon"
2026-03-05,"Cabbage",295.19,g,"Production Batch Processing","Crispy Bucheron"
2026-03-05,"Carrots",216.63,g,"Production Batch Processing","Salted Banana Chips"
2026-03-05,"Chicken",1003.45,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-05,"Chiton",1558.15,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-05,"Cooking Oil",11.98,L,"Production Batch Processing","Biscocho Chips"
2026-03-05,"Garlic",194.19,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-05,"Ground Pepper",45.75,g,"Production Batch Processing","Binayong Hipon"
2026-03-05,"Honey",376.91,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-05,"Loaf Bread",6.65,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-05,"Onion",262.5,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-05,"Oyster Sauce",108.61,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-05,"Peanuts",1908.38,g,"Production Batch Processing","Biscocho Chips"
2026-03-05,"Pork",994.03,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-05,"Pork Skin",1593.31,g,"Production Batch Processing","Binayong Hipon"
2026-03-05,"Raw Bananas",2773.13,g,"Production Batch Processing","Crispy Bucheron"
2026-03-05,"Salt",176.99,g,"Production Batch Processing","Salted Banana Chips"
2026-03-05,"Sea Salt",92.55,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-05,"Sesame Oil",60.83,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-05,"Small Shrimp",2372.99,g,"Production Batch Processing","Biscocho Chips"
2026-03-05,"Soy Sauce",175.54,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-05,"Spring Onion",118.7,g,"Production Batch Processing","Binayong Hipon"
2026-03-05,"Sugar",384.97,g,"Production Batch Processing","Crispy Bucheron"
2026-03-05,"Turmeric Powder",48.44,g,"Production Batch Processing","Salted Banana Chips"
2026-03-05,"Water",31.84,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-06,"Bell Pepper",107.95,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-06,"Butter/Margarine",491.54,g,"Production Batch Processing","Binayong Hipon"
2026-03-06,"Cabbage",281.66,g,"Production Batch Processing","Crispy Bucheron"
2026-03-06,"Carrots",236.96,g,"Production Batch Processing","Salted Banana Chips"
2026-03-06,"Chicken",893.32,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-06,"Chiton",1774.79,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-06,"Cooking Oil",13.6,L,"Production Batch Processing","Biscocho Chips"
2026-03-06,"Garlic",176.91,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-06,"Ground Pepper",49.36,g,"Production Batch Processing","Binayong Hipon"
2026-03-06,"Honey",355.63,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-06,"Loaf Bread",6.5,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-06,"Onion",270.07,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-06,"Oyster Sauce",109.17,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-06,"Peanuts",1992.31,g,"Production Batch Processing","Biscocho Chips"
2026-03-06,"Pork",1026.86,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-06,"Pork Skin",1620.88,g,"Production Batch Processing","Binayong Hipon"
2026-03-06,"Raw Bananas",2413.17,g,"Production Batch Processing","Crispy Bucheron"
2026-03-06,"Salt",177.07,g,"Production Batch Processing","Salted Banana Chips"
2026-03-06,"Sea Salt",93.86,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-06,"Sesame Oil",71.38,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-06,"Small Shrimp",2294.27,g,"Production Batch Processing","Biscocho Chips"
2026-03-06,"Soy Sauce",162.8,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-06,"Spring Onion",97.57,g,"Production Batch Processing","Binayong Hipon"
2026-03-06,"Sugar",411.59,g,"Production Batch Processing","Crispy Bucheron"
2026-03-06,"Turmeric Powder",57,g,"Production Batch Processing","Salted Banana Chips"
2026-03-06,"Water",32.31,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-07,"Bell Pepper",173.78,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-07,"Butter/Margarine",601.85,g,"Production Batch Processing","Binayong Hipon"
2026-03-07,"Cabbage",397.37,g,"Production Batch Processing","Crispy Bucheron"
2026-03-07,"Carrots",277.24,g,"Production Batch Processing","Salted Banana Chips"
2026-03-07,"Chicken",1360.97,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-07,"Chiton",2353.38,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-07,"Cooking Oil",16.54,L,"Production Batch Processing","Biscocho Chips"
2026-03-07,"Garlic",253.03,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-07,"Ground Pepper",65.48,g,"Production Batch Processing","Binayong Hipon"
2026-03-07,"Honey",449.74,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-07,"Loaf Bread",7.36,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-07,"Onion",335.08,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-07,"Oyster Sauce",140.46,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-07,"Peanuts",2738.01,g,"Production Batch Processing","Biscocho Chips"
2026-03-07,"Pork",1194.14,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-07,"Pork Skin",2695.93,g,"Production Batch Processing","Binayong Hipon"
2026-03-07,"Raw Bananas",3123.38,g,"Production Batch Processing","Crispy Bucheron"
2026-03-07,"Salt",226.97,g,"Production Batch Processing","Salted Banana Chips"
2026-03-07,"Sea Salt",125.24,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-07,"Sesame Oil",89.34,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-07,"Small Shrimp",2996.36,g,"Production Batch Processing","Biscocho Chips"
2026-03-07,"Soy Sauce",212.12,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-07,"Spring Onion",149.48,g,"Production Batch Processing","Binayong Hipon"
2026-03-07,"Sugar",532.91,g,"Production Batch Processing","Crispy Bucheron"
2026-03-07,"Turmeric Powder",76.28,g,"Production Batch Processing","Salted Banana Chips"
2026-03-07,"Water",49.19,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-08,"Bell Pepper",143.39,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-08,"Butter/Margarine",575.01,g,"Production Batch Processing","Binayong Hipon"
2026-03-08,"Cabbage",380.77,g,"Production Batch Processing","Crispy Bucheron"
2026-03-08,"Carrots",317.81,g,"Production Batch Processing","Salted Banana Chips"
2026-03-08,"Chicken",1275.64,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-08,"Chiton",2041.47,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-08,"Cooking Oil",15.92,L,"Production Batch Processing","Biscocho Chips"
2026-03-08,"Garlic",230.98,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-08,"Ground Pepper",65.13,g,"Production Batch Processing","Binayong Hipon"
2026-03-08,"Honey",442.05,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-08,"Loaf Bread",7.22,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-08,"Onion",354.62,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-08,"Oyster Sauce",163.2,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-08,"Peanuts",3157.94,g,"Production Batch Processing","Biscocho Chips"
2026-03-08,"Pork",1174.04,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-08,"Pork Skin",2534.35,g,"Production Batch Processing","Binayong Hipon"
2026-03-08,"Raw Bananas",3209.18,g,"Production Batch Processing","Crispy Bucheron"
2026-03-08,"Salt",239.35,g,"Production Batch Processing","Salted Banana Chips"
2026-03-08,"Sea Salt",125.49,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-08,"Sesame Oil",95.68,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-08,"Small Shrimp",3574.01,g,"Production Batch Processing","Biscocho Chips"
2026-03-08,"Soy Sauce",203.38,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-08,"Spring Onion",131.2,g,"Production Batch Processing","Binayong Hipon"
2026-03-08,"Sugar",589.01,g,"Production Batch Processing","Crispy Bucheron"
2026-03-08,"Turmeric Powder",81.07,g,"Production Batch Processing","Salted Banana Chips"
2026-03-08,"Water",48.33,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-09,"Bell Pepper",123.27,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-09,"Butter/Margarine",428.31,g,"Production Batch Processing","Binayong Hipon"
2026-03-09,"Cabbage",308.12,g,"Production Batch Processing","Crispy Bucheron"
2026-03-09,"Carrots",224.29,g,"Production Batch Processing","Salted Banana Chips"
2026-03-09,"Chicken",972.15,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-09,"Chiton",1631.26,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-09,"Cooking Oil",11.15,L,"Production Batch Processing","Biscocho Chips"
2026-03-09,"Garlic",165.17,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-09,"Ground Pepper",49.77,g,"Production Batch Processing","Binayong Hipon"
2026-03-09,"Honey",356.63,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-09,"Loaf Bread",6.71,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-09,"Onion",255.76,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-09,"Oyster Sauce",104.62,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-09,"Peanuts",1950.27,g,"Production Batch Processing","Biscocho Chips"
2026-03-09,"Pork",971.03,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-09,"Pork Skin",1890.17,g,"Production Batch Processing","Binayong Hipon"
2026-03-09,"Raw Bananas",2626.16,g,"Production Batch Processing","Crispy Bucheron"
2026-03-09,"Salt",189.97,g,"Production Batch Processing","Salted Banana Chips"
2026-03-09,"Sea Salt",102.37,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-09,"Sesame Oil",70.29,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-09,"Small Shrimp",2320.66,g,"Production Batch Processing","Biscocho Chips"
2026-03-09,"Soy Sauce",170.07,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-09,"Spring Onion",113.02,g,"Production Batch Processing","Binayong Hipon"
2026-03-09,"Sugar",378.99,g,"Production Batch Processing","Crispy Bucheron"
2026-03-09,"Turmeric Powder",55.15,g,"Production Batch Processing","Salted Banana Chips"
2026-03-09,"Water",39.11,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-10,"Bell Pepper",111.42,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-10,"Butter/Margarine",449.08,g,"Production Batch Processing","Binayong Hipon"
2026-03-10,"Cabbage",265.48,g,"Production Batch Processing","Crispy Bucheron"
2026-03-10,"Carrots",220.64,g,"Production Batch Processing","Salted Banana Chips"
2026-03-10,"Chicken",1005.3,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-10,"Chiton",1787.56,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-10,"Cooking Oil",12.65,L,"Production Batch Processing","Biscocho Chips"
2026-03-10,"Garlic",165.51,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-10,"Ground Pepper",42.1,g,"Production Batch Processing","Binayong Hipon"
2026-03-10,"Honey",318.49,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-10,"Loaf Bread",5.4,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-10,"Onion",254.11,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-10,"Oyster Sauce",122.57,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-10,"Peanuts",1972.76,g,"Production Batch Processing","Biscocho Chips"
2026-03-10,"Pork",940.77,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-10,"Pork Skin",1831.14,g,"Production Batch Processing","Binayong Hipon"
2026-03-10,"Raw Bananas",2511.31,g,"Production Batch Processing","Crispy Bucheron"
2026-03-10,"Salt",205.01,g,"Production Batch Processing","Salted Banana Chips"
2026-03-10,"Sea Salt",90.71,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-10,"Sesame Oil",59.95,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-10,"Small Shrimp",2483.19,g,"Production Batch Processing","Biscocho Chips"
2026-03-10,"Soy Sauce",158.44,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-10,"Spring Onion",106.73,g,"Production Batch Processing","Binayong Hipon"
2026-03-10,"Sugar",459,g,"Production Batch Processing","Crispy Bucheron"
2026-03-10,"Turmeric Powder",55.2,g,"Production Batch Processing","Salted Banana Chips"
2026-03-10,"Water",32.53,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-11,"Bell Pepper",121.26,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-11,"Butter/Margarine",420.92,g,"Production Batch Processing","Binayong Hipon"
2026-03-11,"Cabbage",288.06,g,"Production Batch Processing","Crispy Bucheron"
2026-03-11,"Carrots",229.68,g,"Production Batch Processing","Salted Banana Chips"
2026-03-11,"Chicken",1047.6,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-11,"Chiton",1663.01,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-11,"Cooking Oil",12.8,L,"Production Batch Processing","Biscocho Chips"
2026-03-11,"Garlic",192.35,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-11,"Ground Pepper",47.98,g,"Production Batch Processing","Binayong Hipon"
2026-03-11,"Honey",336.5,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-11,"Loaf Bread",6.23,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-11,"Onion",298.97,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-11,"Oyster Sauce",102.33,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-11,"Peanuts",2121.64,g,"Production Batch Processing","Biscocho Chips"
2026-03-11,"Pork",816.76,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-11,"Pork Skin",1735.07,g,"Production Batch Processing","Binayong Hipon"
2026-03-11,"Raw Bananas",2780.54,g,"Production Batch Processing","Crispy Bucheron"
2026-03-11,"Salt",210.88,g,"Production Batch Processing","Salted Banana Chips"
2026-03-11,"Sea Salt",99.47,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-11,"Sesame Oil",62.47,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-11,"Small Shrimp",2370.36,g,"Production Batch Processing","Biscocho Chips"
2026-03-11,"Soy Sauce",160.88,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-11,"Spring Onion",98.99,g,"Production Batch Processing","Binayong Hipon"
2026-03-11,"Sugar",428.71,g,"Production Batch Processing","Crispy Bucheron"
2026-03-11,"Turmeric Powder",55.35,g,"Production Batch Processing","Salted Banana Chips"
2026-03-11,"Water",38.43,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-12,"Bell Pepper",118.41,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-12,"Butter/Margarine",482.81,g,"Production Batch Processing","Binayong Hipon"
2026-03-12,"Cabbage",308.19,g,"Production Batch Processing","Crispy Bucheron"
2026-03-12,"Carrots",242.12,g,"Production Batch Processing","Salted Banana Chips"
2026-03-12,"Chicken",887.6,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-12,"Chiton",1775.74,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-12,"Cooking Oil",11.69,L,"Production Batch Processing","Biscocho Chips"
2026-03-12,"Garlic",201.29,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-12,"Ground Pepper",40.22,g,"Production Batch Processing","Binayong Hipon"
2026-03-12,"Honey",372.92,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-12,"Loaf Bread",6.55,pcs,"Production Batch Processing","Salted Banana Chips"
2026-03-12,"Onion",293.59,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-12,"Oyster Sauce",108.27,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-12,"Peanuts",1982.88,g,"Production Batch Processing","Biscocho Chips"
2026-03-12,"Pork",851.22,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-12,"Pork Skin",1814.34,g,"Production Batch Processing","Binayong Hipon"
2026-03-12,"Raw Bananas",2452.58,g,"Production Batch Processing","Crispy Bucheron"
2026-03-12,"Salt",167.42,g,"Production Batch Processing","Salted Banana Chips"
2026-03-12,"Sea Salt",102.62,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-12,"Sesame Oil",64.57,ml,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-12,"Small Shrimp",2169.78,g,"Production Batch Processing","Biscocho Chips"
2026-03-12,"Soy Sauce",147.02,ml,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-12,"Spring Onion",112.47,g,"Production Batch Processing","Binayong Hipon"
2026-03-12,"Sugar",409.87,g,"Production Batch Processing","Crispy Bucheron"
2026-03-12,"Turmeric Powder",56.23,g,"Production Batch Processing","Salted Banana Chips"
2026-03-12,"Water",35.01,L,"Production Batch Processing","Creamy Peanut Butter"
2026-03-13,"Bell Pepper",124.38,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-13,"Butter/Margarine",396.73,g,"Production Batch Processing","Binayong Hipon"
2026-03-13,"Cabbage",335.05,g,"Production Batch Processing","Crispy Bucheron"
2026-03-13,"Carrots",219.37,g,"Production Batch Processing","Salted Banana Chips"
2026-03-13,"Chicken",962.42,g,"Production Batch Processing","Creamy Peanut Butter"
2026-03-13,"Chiton",1516.48,g,"Production Batch Processing","Crunchy Peanut Butter"
2026-03-13,"Cooking Oil",12.53,L,"Production Batch Processing","Biscocho Chips"
2026-03-13,"Garlic",179.49,g,"Production Batch Processing","Kibets (Crispy Chiton)"
2026-03-13,"Ground Pepper",40.42,g,"Production Batch Processing","Binayong Hipon"
2026-03-13,"Honey",357.5,ml,"Production Batch Processing","Crispy Bucheron"
2026-03-13,"Loaf Bread",5.87,pcs,"Production Batch Processing","Salted Banana Chips"
