receipt_date,item_code,material_name,received_quantity,unit,supplier_name
2026-07-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",74,kg,"Approved Industrial Supplier"
2026-07-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",75,kg,"Approved Industrial Supplier"
2026-07-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",83,kg,"Approved Industrial Supplier"
2026-08-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",83,kg,"Approved Industrial Supplier"
2026-08-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",87,kg,"Approved Industrial Supplier"
2026-08-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",74,kg,"Approved Industrial Supplier"
2026-08-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",83,kg,"Approved Industrial Supplier"
2026-01-01,RM-002,"Baking Powder",93,kg,"Approved Industrial Supplier"
2026-01-10,RM-002,"Baking Powder",97,kg,"Approved Industrial Supplier"
2026-01-19,RM-002,"Baking Powder",107,kg,"Approved Industrial Supplier"
2026-01-28,RM-002,"Baking Powder",99,kg,"Approved Industrial Supplier"
2026-02-06,RM-002,"Baking Powder",107,kg,"Approved Industrial Supplier"
2026-02-15,RM-002,"Baking Powder",108,kg,"Approved Industrial Supplier"
2026-02-24,RM-002,"Baking Powder",95,kg,"Approved Industrial Supplier"
2026-03-05,RM-002,"Baking Powder",107,kg,"Approved Industrial Supplier"
2026-03-14,RM-002,"Baking Powder",108,kg,"Approved Industrial Supplier"
2026-03-23,RM-002,"Baking Powder",93,kg,"Approved Industrial Supplier"
2026-04-01,RM-002,"Baking Powder",107,kg,"Approved Industrial Supplier"
2026-04-10,RM-002,"Baking Powder",95,kg,"Approved Industrial Supplier"
2026-04-19,RM-002,"Baking Powder",108,kg,"Approved Industrial Supplier"
2026-04-28,RM-002,"Baking Powder",105,kg,"Approved Industrial Supplier"
2026-05-07,RM-002,"Baking Powder",95,kg,"Approved Industrial Supplier"
2026-05-16,RM-002,"Baking Powder",93,kg,"Approved Industrial Supplier"
2026-05-25,RM-002,"Baking Powder",101,kg,"Approved Industrial Supplier"
2026-06-03,RM-002,"Baking Powder",100,kg,"Approved Industrial Supplier"
2026-06-12,RM-002,"Baking Powder",95,kg,"Approved Industrial Supplier"
2026-06-21,RM-002,"Baking Powder",97,kg,"Approved Industrial Supplier"
2026-06-30,RM-002,"Baking Powder",103,kg,"Approved Industrial Supplier"
2026-07-09,RM-002,"Baking Powder",100,kg,"Approved Industrial Supplier"
2026-07-18,RM-002,"Baking Powder",106,kg,"Approved Industrial Supplier"
2026-07-27,RM-002,"Baking Powder",93,kg,"Approved Industrial Supplier"
2026-08-05,RM-002,"Baking Powder",100,kg,"Approved Industrial Supplier"
2026-08-14,RM-002,"Baking Powder",100,kg,"Approved Industrial Supplier"
2026-08-23,RM-002,"Baking Powder",108,kg,"Approved Industrial Supplier"
2026-09-01,RM-002,"Baking Powder",95,kg,"Approved Industrial Supplier"
2026-01-01,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-01-11,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-01-21,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-01-31,RM-003,"Cream of Tartar",43,kg,"Approved Industrial Supplier"
2026-02-10,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-02-20,RM-003,"Cream of Tartar",41,kg,"Approved Industrial Supplier"
2026-03-02,RM-003,"Cream of Tartar",38,kg,"Approved Industrial Supplier"
2026-03-12,RM-003,"Cream of Tartar",41,kg,"Approved Industrial Supplier"
2026-03-22,RM-003,"Cream of Tartar",38,kg,"Approved Industrial Supplier"
2026-04-01,RM-003,"Cream of Tartar",38,kg,"Approved Industrial Supplier"
2026-04-11,RM-003,"Cream of Tartar",40,kg,"Approved Industrial Supplier"
2026-04-21,RM-003,"Cream of Tartar",43,kg,"Approved Industrial Supplier"
2026-05-01,RM-003,"Cream of Tartar",40,kg,"Approved Industrial Supplier"
2026-05-11,RM-003,"Cream of Tartar",40,kg,"Approved Industrial Supplier"
2026-05-21,RM-003,"Cream of Tartar",43,kg,"Approved Industrial Supplier"
2026-05-31,RM-003,"Cream of Tartar",44,kg,"Approved Industrial Supplier"
2026-06-10,RM-003,"Cream of Tartar",39,kg,"Approved Industrial Supplier"
2026-06-20,RM-003,"Cream of Tartar",40,kg,"Approved Industrial Supplier"
2026-06-30,RM-003,"Cream of Tartar",43,kg,"Approved Industrial Supplier"
2026-07-10,RM-003,"Cream of Tartar",43,kg,"Approved Industrial Supplier"
2026-07-20,RM-003,"Cream of Tartar",40,kg,"Approved Industrial Supplier"
2026-07-30,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-08-09,RM-003,"Cream of Tartar",39,kg,"Approved Industrial Supplier"
2026-08-19,RM-003,"Cream of Tartar",42,kg,"Approved Industrial Supplier"
2026-08-29,RM-003,"Cream of Tartar",44,kg,"Approved Industrial Supplier"
2026-01-01,RM-004,"Instant Dry Yeast",128,kg,"Approved Industrial Supplier"
2026-01-12,RM-004,"Instant Dry Yeast",123,kg,"Approved Industrial Supplier"
2026-01-23,RM-004,"Instant Dry Yeast",120,kg,"Approved Industrial Supplier"
2026-02-03,RM-004,"Instant Dry Yeast",131,kg,"Approved Industrial Supplier"
2026-02-14,RM-004,"Instant Dry Yeast",115,kg,"Approved Industrial Supplier"
2026-02-25,RM-004,"Instant Dry Yeast",116,kg,"Approved Industrial Supplier"
2026-03-08,RM-004,"Instant Dry Yeast",121,kg,"Approved Industrial Supplier"
2026-03-19,RM-004,"Instant Dry Yeast",130,kg,"Approved Industrial Supplier"
2026-03-30,RM-004,"Instant Dry Yeast",120,kg,"Approved Industrial Supplier"
2026-04-10,RM-004,"Instant Dry Yeast",112,kg,"Approved Industrial Supplier"
2026-04-21,RM-004,"Instant Dry Yeast",119,kg,"Approved Industrial Supplier"
2026-05-02,RM-004,"Instant Dry Yeast",130,kg,"Approved Industrial Supplier"
2026-05-13,RM-004,"Instant Dry Yeast",118,kg,"Approved Industrial Supplier"
2026-05-24,RM-004,"Instant Dry Yeast",121,kg,"Approved Industrial Supplier"
2026-06-04,RM-004,"Instant Dry Yeast",127,kg,"Approved Industrial Supplier"
2026-06-15,RM-004,"Instant Dry Yeast",113,kg,"Approved Industrial Supplier"
2026-06-26,RM-004,"Instant Dry Yeast",115,kg,"Approved Industrial Supplier"
2026-07-07,RM-004,"Instant Dry Yeast",130,kg,"Approved Industrial Supplier"
2026-07-18,RM-004,"Instant Dry Yeast",111,kg,"Approved Industrial Supplier"
2026-07-29,RM-004,"Instant Dry Yeast",132,kg,"Approved Industrial Supplier"
2026-08-09,RM-004,"Instant Dry Yeast",116,kg,"Approved Industrial Supplier"
2026-08-20,RM-004,"Instant Dry Yeast",116,kg,"Approved Industrial Supplier"
2026-08-31,RM-004,"Instant Dry Yeast",111,kg,"Approved Industrial Supplier"
2026-01-01,RM-005,"Cane Vinegar",158,L,"Approved Industrial Supplier"
2026-01-13,RM-005,"Cane Vinegar",161,L,"Approved Industrial Supplier"
2026-01-25,RM-005,"Cane Vinegar",142,L,"Approved Industrial Supplier"
2026-02-06,RM-005,"Cane Vinegar",153,L,"Approved Industrial Supplier"
2026-02-18,RM-005,"Cane Vinegar",151,L,"Approved Industrial Supplier"
2026-03-02,RM-005,"Cane Vinegar",144,L,"Approved Industrial Supplier"
2026-03-14,RM-005,"Cane Vinegar",159,L,"Approved Industrial Supplier"
2026-03-26,RM-005,"Cane Vinegar",150,L,"Approved Industrial Supplier"
2026-04-07,RM-005,"Cane Vinegar",164,L,"Approved Industrial Supplier"
2026-04-19,RM-005,"Cane Vinegar",162,L,"Approved Industrial Supplier"
2026-05-01,RM-005,"Cane Vinegar",163,L,"Approved Industrial Supplier"
2026-05-13,RM-005,"Cane Vinegar",143,L,"Approved Industrial Supplier"
2026-05-25,RM-005,"Cane Vinegar",152,L,"Approved Industrial Supplier"
2026-06-06,RM-005,"Cane Vinegar",152,L,"Approved Industrial Supplier"
2026-06-18,RM-005,"Cane Vinegar",165,L,"Approved Industrial Supplier"
2026-06-30,RM-005,"Cane Vinegar",139,L,"Approved Industrial Supplier"
2026-07-12,RM-005,"Cane Vinegar",147,L,"Approved Industrial Supplier"
2026-07-24,RM-005,"Cane Vinegar",154,L,"Approved Industrial Supplier"
2026-08-05,RM-005,"Cane Vinegar",150,L,"Approved Industrial Supplier"
2026-08-17,RM-005,"Cane Vinegar",151,L,"Approved Industrial Supplier"
2026-08-29,RM-005,"Cane Vinegar",154,L,"Approved Industrial Supplier"
2026-01-01,RM-006,"Soy Sauce",210,L,"Approved Industrial Supplier"
2026-01-14,RM-006,"Soy Sauce",185,L,"Approved Industrial Supplier"
2026-01-27,RM-006,"Soy Sauce",214,L,"Approved Industrial Supplier"
2026-02-09,RM-006,"Soy Sauce",206,L,"Approved Industrial Supplier"
2026-02-22,RM-006,"Soy Sauce",209,L,"Approved Industrial Supplier"
2026-03-07,RM-006,"Soy Sauce",189,L,"Approved Industrial Supplier"
2026-03-20,RM-006,"Soy Sauce",209,L,"Approved Industrial Supplier"
2026-04-02,RM-006,"Soy Sauce",187,L,"Approved Industrial Supplier"
2026-04-15,RM-006,"Soy Sauce",207,L,"Approved Industrial Supplier"
2026-04-28,RM-006,"Soy Sauce",202,L,"Approved Industrial Supplier"
2026-05-11,RM-006,"Soy Sauce",199,L,"Approved Industrial Supplier"
2026-05-24,RM-006,"Soy Sauce",190,L,"Approved Industrial Supplier"
2026-06-06,RM-006,"Soy Sauce",187,L,"Approved Industrial Supplier"
2026-06-19,RM-006,"Soy Sauce",203,L,"Approved Industrial Supplier"
2026-07-02,RM-006,"Soy Sauce",193,L,"Approved Industrial Supplier"
2026-07-15,RM-006,"Soy Sauce",195,L,"Approved Industrial Supplier"
2026-07-28,RM-006,"Soy Sauce",207,L,"Approved Industrial Supplier"
2026-08-10,RM-006,"Soy Sauce",198,L,"Approved Industrial Supplier"
2026-08-23,RM-006,"Soy Sauce",198,L,"Approved Industrial Supplier"
2026-01-01,RM-007,"Condensed Milk",250,kg,"Approved Industrial Supplier"
2026-01-09,RM-007,"Condensed Milk",241,kg,"Approved Industrial Supplier"
2026-01-17,RM-007,"Condensed Milk",258,kg,"Approved Industrial Supplier"
2026-01-25,RM-007,"Condensed Milk",230,kg,"Approved Industrial Supplier"
2026-02-02,RM-007,"Condensed Milk",245,kg,"Approved Industrial Supplier"
2026-02-10,RM-007,"Condensed Milk",259,kg,"Approved Industrial Supplier"
2026-02-18,RM-007,"Condensed Milk",272,kg,"Approved Industrial Supplier"
2026-02-26,RM-007,"Condensed Milk",249,kg,"Approved Industrial Supplier"
2026-03-06,RM-007,"Condensed Milk",271,kg,"Approved Industrial Supplier"
2026-03-14,RM-007,"Condensed Milk",271,kg,"Approved Industrial Supplier"
2026-03-22,RM-007,"Condensed Milk",251,kg,"Approved Industrial Supplier"
2026-03-30,RM-007,"Condensed Milk",263,kg,"Approved Industrial Supplier"
2026-04-07,RM-007,"Condensed Milk",247,kg,"Approved Industrial Supplier"
2026-04-15,RM-007,"Condensed Milk",270,kg,"Approved Industrial Supplier"
2026-04-23,RM-007,"Condensed Milk",250,kg,"Approved Industrial Supplier"
2026-05-01,RM-007,"Condensed Milk",255,kg,"Approved Industrial Supplier"
2026-05-09,RM-007,"Condensed Milk",241,kg,"Approved Industrial Supplier"
2026-05-17,RM-007,"Condensed Milk",255,kg,"Approved Industrial Supplier"
2026-05-25,RM-007,"Condensed Milk",238,kg,"Approved Industrial Supplier"
2026-06-02,RM-007,"Condensed Milk",231,kg,"Approved Industrial Supplier"
2026-06-10,RM-007,"Condensed Milk",254,kg,"Approved Industrial Supplier"
2026-06-18,RM-007,"Condensed Milk",234,kg,"Approved Industrial Supplier"
2026-06-26,RM-007,"Condensed Milk",263,kg,"Approved Industrial Supplier"
2026-07-04,RM-007,"Condensed Milk",273,kg,"Approved Industrial Supplier"
2026-07-12,RM-007,"Condensed Milk",260,kg,"Approved Industrial Supplier"
2026-07-20,RM-007,"Condensed Milk",261,kg,"Approved Industrial Supplier"
2026-07-28,RM-007,"Condensed Milk",270,kg,"Approved Industrial Supplier"
2026-08-05,RM-007,"Condensed Milk",240,kg,"Approved Industrial Supplier"
2026-08-13,RM-007,"Condensed Milk",247,kg,"Approved Industrial Supplier"
2026-08-21,RM-007,"Condensed Milk",248,kg,"Approved Industrial Supplier"
2026-08-29,RM-007,"Condensed Milk",275,kg,"Approved Industrial Supplier"
2026-01-01,RM-008,"Evaporated Milk",197,L,"Approved Industrial Supplier"
2026-01-10,RM-008,"Evaporated Milk",203,L,"Approved Industrial Supplier"
2026-01-19,RM-008,"Evaporated Milk",199,L,"Approved Industrial Supplier"
2026-01-28,RM-008,"Evaporated Milk",185,L,"Approved Industrial Supplier"
2026-02-06,RM-008,"Evaporated Milk",205,L,"Approved Industrial Supplier"
2026-02-15,RM-008,"Evaporated Milk",209,L,"Approved Industrial Supplier"
2026-02-24,RM-008,"Evaporated Milk",193,L,"Approved Industrial Supplier"
2026-03-05,RM-008,"Evaporated Milk",186,L,"Approved Industrial Supplier"
2026-03-14,RM-008,"Evaporated Milk",216,L,"Approved Industrial Supplier"
2026-03-23,RM-008,"Evaporated Milk",210,L,"Approved Industrial Supplier"
2026-04-01,RM-008,"Evaporated Milk",204,L,"Approved Industrial Supplier"
2026-04-10,RM-008,"Evaporated Milk",197,L,"Approved Industrial Supplier"
2026-04-19,RM-008,"Evaporated Milk",213,L,"Approved Industrial Supplier"
2026-04-28,RM-008,"Evaporated Milk",203,L,"Approved Industrial Supplier"
2026-05-07,RM-008,"Evaporated Milk",204,L,"Approved Industrial Supplier"
2026-05-16,RM-008,"Evaporated Milk",219,L,"Approved Industrial Supplier"
2026-05-25,RM-008,"Evaporated Milk",214,L,"Approved Industrial Supplier"
2026-06-03,RM-008,"Evaporated Milk",203,L,"Approved Industrial Supplier"
2026-06-12,RM-008,"Evaporated Milk",211,L,"Approved Industrial Supplier"
2026-06-21,RM-008,"Evaporated Milk",206,L,"Approved Industrial Supplier"
2026-06-30,RM-008,"Evaporated Milk",193,L,"Approved Industrial Supplier"
2026-07-09,RM-008,"Evaporated Milk",218,L,"Approved Industrial Supplier"
2026-07-18,RM-008,"Evaporated Milk",214,L,"Approved Industrial Supplier"
2026-07-27,RM-008,"Evaporated Milk",186,L,"Approved Industrial Supplier"
2026-08-05,RM-008,"Evaporated Milk",189,L,"Approved Industrial Supplier"
2026-08-14,RM-008,"Evaporated Milk",209,L,"Approved Industrial Supplier"
2026-08-23,RM-008,"Evaporated Milk",190,L,"Approved Industrial Supplier"
2026-09-01,RM-008,"Evaporated Milk",204,L,"Approved Industrial Supplier"
2026-01-01,RM-009,"Powdered Milk",175,kg,"Approved Industrial Supplier"
2026-01-11,RM-009,"Powdered Milk",183,kg,"Approved Industrial Supplier"
2026-01-21,RM-009,"Powdered Milk",188,kg,"Approved Industrial Supplier"
2026-01-31,RM-009,"Powdered Milk",178,kg,"Approved Industrial Supplier"
2026-02-10,RM-009,"Powdered Milk",171,kg,"Approved Industrial Supplier"
2026-02-20,RM-009,"Powdered Milk",177,kg,"Approved Industrial Supplier"
2026-03-02,RM-009,"Powdered Milk",179,kg,"Approved Industrial Supplier"
2026-03-12,RM-009,"Powdered Milk",197,kg,"Approved Industrial Supplier"
2026-03-22,RM-009,"Powdered Milk",175,kg,"Approved Industrial Supplier"
2026-04-01,RM-009,"Powdered Milk",172,kg,"Approved Industrial Supplier"
2026-04-11,RM-009,"Powdered Milk",171,kg,"Approved Industrial Supplier"
2026-04-21,RM-009,"Powdered Milk",193,kg,"Approved Industrial Supplier"
2026-05-01,RM-009,"Powdered Milk",168,kg,"Approved Industrial Supplier"
2026-05-11,RM-009,"Powdered Milk",193,kg,"Approved Industrial Supplier"
2026-05-21,RM-009,"Powdered Milk",177,kg,"Approved Industrial Supplier"
2026-05-31,RM-009,"Powdered Milk",174,kg,"Approved Industrial Supplier"
2026-06-10,RM-009,"Powdered Milk",194,kg,"Approved Industrial Supplier"
2026-06-20,RM-009,"Powdered Milk",190,kg,"Approved Industrial Supplier"
2026-06-30,RM-009,"Powdered Milk",188,kg,"Approved Industrial Supplier"
2026-07-10,RM-009,"Powdered Milk",179,kg,"Approved Industrial Supplier"
2026-07-20,RM-009,"Powdered Milk",190,kg,"Approved Industrial Supplier"
2026-07-30,RM-009,"Powdered Milk",176,kg,"Approved Industrial Supplier"
2026-08-09,RM-009,"Powdered Milk",171,kg,"Approved Industrial Supplier"
2026-08-19,RM-009,"Powdered Milk",170,kg,"Approved Industrial Supplier"
2026-08-29,RM-009,"Powdered Milk",179,kg,"Approved Industrial Supplier"
2026-01-01,RM-010,"Fresh Whole Egg Whites",162,kg,"Approved Industrial Supplier"
2026-01-12,RM-010,"Fresh Whole Egg Whites",173,kg,"Approved Industrial Supplier"
2026-01-23,RM-010,"Fresh Whole Egg Whites",162,kg,"Approved Industrial Supplier"
2026-02-03,RM-010,"Fresh Whole Egg Whites",160,kg,"Approved Industrial Supplier"
2026-02-14,RM-010,"Fresh Whole Egg Whites",152,kg,"Approved Industrial Supplier"
2026-02-25,RM-010,"Fresh Whole Egg Whites",170,kg,"Approved Industrial Supplier"
2026-03-08,RM-010,"Fresh Whole Egg Whites",168,kg,"Approved Industrial Supplier"
2026-03-19,RM-010,"Fresh Whole Egg Whites",157,kg,"Approved Industrial Supplier"
2026-03-30,RM-010,"Fresh Whole Egg Whites",176,kg,"Approved Industrial Supplier"
2026-04-10,RM-010,"Fresh Whole Egg Whites",158,kg,"Approved Industrial Supplier"
2026-04-21,RM-010,"Fresh Whole Egg Whites",172,kg,"Approved Industrial Supplier"
2026-05-02,RM-010,"Fresh Whole Egg Whites",162,kg,"Approved Industrial Supplier"
2026-05-13,RM-010,"Fresh Whole Egg Whites",172,kg,"Approved Industrial Supplier"
2026-05-24,RM-010,"Fresh Whole Egg Whites",173,kg,"Approved Industrial Supplier"
2026-06-04,RM-010,"Fresh Whole Egg Whites",159,kg,"Approved Industrial Supplier"
2026-06-15,RM-010,"Fresh Whole Egg Whites",153,kg,"Approved Industrial Supplier"
2026-06-26,RM-010,"Fresh Whole Egg Whites",157,kg,"Approved Industrial Supplier"
2026-07-07,RM-010,"Fresh Whole Egg Whites",164,kg,"Approved Industrial Supplier"
2026-07-18,RM-010,"Fresh Whole Egg Whites",156,kg,"Approved Industrial Supplier"
2026-07-29,RM-010,"Fresh Whole Egg Whites",168,kg,"Approved Industrial Supplier"
2026-08-09,RM-010,"Fresh Whole Egg Whites",169,kg,"Approved Industrial Supplier"
2026-08-20,RM-010,"Fresh Whole Egg Whites",156,kg,"Approved Industrial Supplier"
2026-08-31,RM-010,"Fresh Whole Egg Whites",162,kg,"Approved Industrial Supplier"
2026-01-01,RM-011,"Fresh Whole Eggs",327,kg,"Approved Industrial Supplier"
2026-01-13,RM-011,"Fresh Whole Eggs",322,kg,"Approved Industrial Supplier"
2026-01-25,RM-011,"Fresh Whole Eggs",381,kg,"Approved Industrial Supplier"
2026-02-06,RM-011,"Fresh Whole Eggs",336,kg,"Approved Industrial Supplier"
2026-02-18,RM-011,"Fresh Whole Eggs",352,kg,"Approved Industrial Supplier"
2026-03-02,RM-011,"Fresh Whole Eggs",324,kg,"Approved Industrial Supplier"
2026-03-14,RM-011,"Fresh Whole Eggs",331,kg,"Approved Industrial Supplier"
2026-03-26,RM-011,"Fresh Whole Eggs",326,kg,"Approved Industrial Supplier"
2026-04-07,RM-011,"Fresh Whole Eggs",325,kg,"Approved Industrial Supplier"
2026-04-19,RM-011,"Fresh Whole Eggs",384,kg,"Approved Industrial Supplier"
2026-05-01,RM-011,"Fresh Whole Eggs",334,kg,"Approved Industrial Supplier"
2026-05-13,RM-011,"Fresh Whole Eggs",323,kg,"Approved Industrial Supplier"
2026-05-25,RM-011,"Fresh Whole Eggs",355,kg,"Approved Industrial Supplier"
2026-06-06,RM-011,"Fresh Whole Eggs",349,kg,"Approved Industrial Supplier"
2026-06-18,RM-011,"Fresh Whole Eggs",327,kg,"Approved Industrial Supplier"
2026-06-30,RM-011,"Fresh Whole Eggs",362,kg,"Approved Industrial Supplier"
2026-07-12,RM-011,"Fresh Whole Eggs",381,kg,"Approved Industrial Supplier"
2026-07-24,RM-011,"Fresh Whole Eggs",357,kg,"Approved Industrial Supplier"
2026-08-05,RM-011,"Fresh Whole Eggs",363,kg,"Approved Industrial Supplier"
2026-08-17,RM-011,"Fresh Whole Eggs",333,kg,"Approved Industrial Supplier"
2026-08-29,RM-011,"Fresh Whole Eggs",355,kg,"Approved Industrial Supplier"
2026-01-01,RM-012,"All-Vegetable Shortening",202,kg,"Approved Industrial Supplier"
2026-01-14,RM-012,"All-Vegetable Shortening",204,kg,"Approved Industrial Supplier"
2026-01-27,RM-012,"All-Vegetable Shortening",199,kg,"Approved Industrial Supplier"
2026-02-09,RM-012,"All-Vegetable Shortening",189,kg,"Approved Industrial Supplier"
2026-02-22,RM-012,"All-Vegetable Shortening",217,kg,"Approved Industrial Supplier"
2026-03-07,RM-012,"All-Vegetable Shortening",203,kg,"Approved Industrial Supplier"
2026-03-20,RM-012,"All-Vegetable Shortening",191,kg,"Approved Industrial Supplier"
2026-04-02,RM-012,"All-Vegetable Shortening",213,kg,"Approved Industrial Supplier"
2026-04-15,RM-012,"All-Vegetable Shortening",190,kg,"Approved Industrial Supplier"
2026-04-28,RM-012,"All-Vegetable Shortening",197,kg,"Approved Industrial Supplier"
2026-05-11,RM-012,"All-Vegetable Shortening",203,kg,"Approved Industrial Supplier"
2026-05-24,RM-012,"All-Vegetable Shortening",186,kg,"Approved Industrial Supplier"
2026-06-06,RM-012,"All-Vegetable Shortening",201,kg,"Approved Industrial Supplier"
2026-06-19,RM-012,"All-Vegetable Shortening",210,kg,"Approved Industrial Supplier"
2026-07-02,RM-012,"All-Vegetable Shortening",201,kg,"Approved Industrial Supplier"
2026-07-15,RM-012,"All-Vegetable Shortening",200,kg,"Approved Industrial Supplier"
2026-07-28,RM-012,"All-Vegetable Shortening",202,kg,"Approved Industrial Supplier"
2026-08-10,RM-012,"All-Vegetable Shortening",188,kg,"Approved Industrial Supplier"
2026-08-23,RM-012,"All-Vegetable Shortening",193,kg,"Approved Industrial Supplier"
2026-01-01,RM-013,"Baking Shortening",235,kg,"Approved Industrial Supplier"
2026-01-09,RM-013,"Baking Shortening",224,kg,"Approved Industrial Supplier"
2026-01-17,RM-013,"Baking Shortening",225,kg,"Approved Industrial Supplier"
2026-01-25,RM-013,"Baking Shortening",224,kg,"Approved Industrial Supplier"
2026-02-02,RM-013,"Baking Shortening",221,kg,"Approved Industrial Supplier"
2026-02-10,RM-013,"Baking Shortening",237,kg,"Approved Industrial Supplier"
2026-02-18,RM-013,"Baking Shortening",225,kg,"Approved Industrial Supplier"
2026-02-26,RM-013,"Baking Shortening",238,kg,"Approved Industrial Supplier"
2026-03-06,RM-013,"Baking Shortening",207,kg,"Approved Industrial Supplier"
2026-03-14,RM-013,"Baking Shortening",232,kg,"Approved Industrial Supplier"
2026-03-22,RM-013,"Baking Shortening",226,kg,"Approved Industrial Supplier"
2026-03-30,RM-013,"Baking Shortening",214,kg,"Approved Industrial Supplier"
2026-04-07,RM-013,"Baking Shortening",215,kg,"Approved Industrial Supplier"
2026-04-15,RM-013,"Baking Shortening",210,kg,"Approved Industrial Supplier"
2026-04-23,RM-013,"Baking Shortening",238,kg,"Approved Industrial Supplier"
2026-05-01,RM-013,"Baking Shortening",240,kg,"Approved Industrial Supplier"
2026-05-09,RM-013,"Baking Shortening",228,kg,"Approved Industrial Supplier"
2026-05-17,RM-013,"Baking Shortening",217,kg,"Approved Industrial Supplier"
2026-05-25,RM-013,"Baking Shortening",238,kg,"Approved Industrial Supplier"
2026-06-02,RM-013,"Baking Shortening",221,kg,"Approved Industrial Supplier"
2026-06-10,RM-013,"Baking Shortening",223,kg,"Approved Industrial Supplier"
2026-06-18,RM-013,"Baking Shortening",239,kg,"Approved Industrial Supplier"
2026-06-26,RM-013,"Baking Shortening",226,kg,"Approved Industrial Supplier"
2026-07-04,RM-013,"Baking Shortening",240,kg,"Approved Industrial Supplier"
2026-07-12,RM-013,"Baking Shortening",218,kg,"Approved Industrial Supplier"
2026-07-20,RM-013,"Baking Shortening",231,kg,"Approved Industrial Supplier"
2026-07-28,RM-013,"Baking Shortening",239,kg,"Approved Industrial Supplier"
2026-08-05,RM-013,"Baking Shortening",233,kg,"Approved Industrial Supplier"
2026-08-13,RM-013,"Baking Shortening",203,kg,"Approved Industrial Supplier"
2026-08-21,RM-013,"Baking Shortening",218,kg,"Approved Industrial Supplier"
2026-08-29,RM-013,"Baking Shortening",236,kg,"Approved Industrial Supplier"
2026-01-01,RM-014,"Salted Creamery Butter",250,kg,"Approved Industrial Supplier"
2026-01-10,RM-014,"Salted Creamery Butter",279,kg,"Approved Industrial Supplier"
2026-01-19,RM-014,"Salted Creamery Butter",282,kg,"Approved Industrial Supplier"
2026-01-28,RM-014,"Salted Creamery Butter",279,kg,"Approved Industrial Supplier"
