Period_Month,Raw_Material_Name,Forecasted_Requirement_Quantity
2026-08,Pork,390.04
2026-09,Pork,379.95
2026-10,Pork,400.65
2026-11,Pork,389.13
2026-12,Pork,406.13
2026-01,Pork Skin,470.22
2026-02,Pork Skin,427.43
2026-03,Pork Skin,477.05
2026-04,Pork Skin,468.26
2026-05,Pork Skin,493.81
2026-06,Pork Skin,476.62
2026-07,Pork Skin,502.04
2026-08,Pork Skin,507.42
2026-09,Pork Skin,494.85
2026-10,Pork Skin,521.12
2026-11,Pork Skin,506.46
2026-12,Pork Skin,528.74
2026-01,Raw Bananas,683.98
2026-02,Raw Bananas,621.92
2026-03,Raw Bananas,694.67
2026-04,Raw Bananas,681.27
2026-05,Raw Bananas,719.12
2026-06,Raw Bananas,694.62
2026-07,Raw Bananas,731.03
2026-08,Raw Bananas,739.85
2026-09,Raw Bananas,721.03
2026-10,Raw Bananas,759.78
2026-11,Raw Bananas,738.92
2026-12,Raw Bananas,770.89
2026-01,Salt,187.67
2026-02,Salt,170.44
2026-03,Salt,190.12
2026-04,Salt,186.73
2026-05,Salt,197.06
2026-06,Salt,190.09
2026-07,Salt,200.36
2026-08,Salt,202.48
2026-09,Salt,197.35
2026-10,Salt,208.18
2026-11,Salt,202.09
2026-12,Salt,210.98
2026-01,Sea Salt,111.69
2026-02,Sea Salt,101.48
2026-03,Sea Salt,113.26
2026-04,Sea Salt,111.18
2026-05,Sea Salt,117.47
2026-06,Sea Salt,113.29
2026-07,Sea Salt,119.4
2026-08,Sea Salt,120.73
2026-09,Sea Salt,117.71
2026-10,Sea Salt,124.15
2026-11,Sea Salt,120.57
2026-12,Sea Salt,125.88
2026-01,Sesame Oil,57.3
2026-02,Sesame Oil,52.03
2026-03,Sesame Oil,58.04
2026-04,Sesame Oil,56.99
2026-05,Sesame Oil,60.21
2026-06,Sesame Oil,57.98
2026-07,Sesame Oil,61.16
2026-08,Sesame Oil,61.81
2026-09,Sesame Oil,60.22
2026-10,Sesame Oil,63.56
2026-11,Sesame Oil,61.69
2026-12,Sesame Oil,64.38
2026-01,Small Shrimp,289.51
2026-02,Small Shrimp,263.12
2026-03,Small Shrimp,293.76
2026-04,Small Shrimp,288.21
2026-05,Small Shrimp,304.19
2026-06,Small Shrimp,293.62
2026-07,Small Shrimp,309.23
2026-08,Small Shrimp,312.68
2026-09,Small Shrimp,304.76
2026-10,Small Shrimp,321.24
2026-11,Small Shrimp,312.22
2026-12,Small Shrimp,325.79
2026-01,Soy Sauce,127.1
2026-02,Soy Sauce,115.52
2026-03,Soy Sauce,128.96
2026-04,Soy Sauce,126.61
2026-05,Soy Sauce,133.65
2026-06,Soy Sauce,128.96
2026-07,Soy Sauce,135.92
2026-08,Soy Sauce,137.42
2026-09,Soy Sauce,133.97
2026-10,Soy Sauce,141.26
2026-11,Soy Sauce,137.27
2026-12,Soy Sauce,143.28
2026-01,Spring Onion,63.37
2026-02,Spring Onion,57.52
2026-03,Spring Onion,64.16
2026-04,Spring Onion,62.99
2026-05,Spring Onion,66.54
2026-06,Spring Onion,64.11
2026-07,Spring Onion,67.6
2026-08,Spring Onion,68.28
2026-09,Spring Onion,66.56
2026-10,Spring Onion,70.24
2026-11,Spring Onion,68.14
2026-12,Spring Onion,71.14
2026-01,Sugar,307.09
2026-02,Sugar,279.22
2026-03,Sugar,311.8
2026-04,Sugar,306.01
2026-05,Sugar,322.95
2026-06,Sugar,311.87
2026-07,Sugar,328.51
2026-08,Sugar,332.25
2026-09,Sugar,323.9
2026-10,Sugar,341.39
2026-11,Sugar,331.97
2026-12,Sugar,346.42
2026-01,Turmeric Powder,29.95
2026-02,Turmeric Powder,27.23
2026-03,Turmeric Powder,30.4
2026-04,Turmeric Powder,29.85
2026-05,Turmeric Powder,31.5
2026-06,Turmeric Powder,30.42
2026-07,Turmeric Powder,32.05
2026-08,Turmeric Powder,32.42
2026-09,Turmeric Powder,31.61
2026-10,Turmeric Powder,33.32
2026-11,Turmeric Powder,32.39
2026-12,Turmeric Powder,33.81
2026-01,Water,1332.58
2026-02,Water,1211.45
2026-03,Water,1352.62
2026-04,Water,1327.93
2026-05,Water,1400.89
2026-06,Water,1353.06
2026-07,Water,1425.32
2026-08,Water,1441.41
2026-09,Water,1405.19
2026-10,Water,1481.24
2026-11,Water,1440.03
2026-12,Water,1503.05
2026-01,OVERALL_TOTAL,8832.68
2026-02,OVERALL_TOTAL,8023.68
2026-03,OVERALL_TOTAL,8955.49
2026-04,OVERALL_TOTAL,8789.23
2026-05,OVERALL_TOTAL,9290.72
2026-06,OVERALL_TOTAL,8953.76
2026-07,OVERALL_TOTAL,9437.99
2026-08,OVERALL_TOTAL,9547.78
2026-09,OVERALL_TOTAL,9301.51
2026-10,OVERALL_TOTAL,9815.85
2026-11,OVERALL_TOTAL,9533.82
2026-12,OVERALL_TOTAL,9947.09
