usage_date,item_code,material_name,consumed_quantity,unit,activity_type,finished_product_name,recorded_by,notes
2026-01-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.14,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1032)"
2026-01-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.05,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1034)"
2026-01-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1036)"
2026-01-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.7,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1038)"
2026-01-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.91,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1040)"
2026-01-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.79,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1042)"
2026-01-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.89,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1044)"
2026-01-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.32,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1046)"
2026-01-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1048)"
2026-01-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1050)"
2026-01-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.78,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1052)"
2026-01-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.83,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1054)"
2026-01-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.81,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1056)"
2026-01-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.97,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1058)"
2026-01-31,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.17,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1060)"
2026-02-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.28,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1062)"
2026-02-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.08,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1064)"
2026-02-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.84,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1066)"
2026-02-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.1,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1068)"
2026-02-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",1,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1070)"
2026-02-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.07,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1072)"
2026-02-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.55,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1074)"
2026-02-08,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.24,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1076)"
2026-02-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.01,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1078)"
2026-02-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.95,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1080)"
2026-02-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.05,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1082)"
2026-02-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.94,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1084)"
2026-02-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.21,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1086)"
2026-02-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.42,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1088)"
2026-02-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.18,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1090)"
2026-02-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.11,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1092)"
2026-02-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1094)"
2026-02-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.06,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1096)"
2026-02-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.03,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1098)"
2026-02-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.08,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1100)"
2026-02-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.53,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1102)"
2026-02-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.26,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1104)"
2026-02-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",1,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1106)"
2026-02-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.92,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1108)"
2026-02-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.1,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1110)"
2026-02-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.92,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1112)"
2026-02-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.19,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1114)"
2026-02-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.51,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1116)"
2026-03-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.08,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1118)"
2026-03-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.01,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1120)"
2026-03-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.82,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1122)"
2026-03-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.95,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1124)"
2026-03-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.95,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1126)"
2026-03-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.03,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1128)"
2026-03-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.31,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1130)"
2026-03-08,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.22,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1132)"
2026-03-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.94,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1134)"
2026-03-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.8,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1136)"
2026-03-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.04,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1138)"
2026-03-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1140)"
2026-03-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.06,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1142)"
2026-03-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.39,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1144)"
2026-03-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.06,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1146)"
2026-03-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.98,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1148)"
2026-03-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.85,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1150)"
2026-03-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.94,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1152)"
2026-03-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.92,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1154)"
2026-03-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.09,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1156)"
2026-03-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.31,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1158)"
2026-03-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.17,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1160)"
2026-03-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.97,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1162)"
2026-03-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.77,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1164)"
2026-03-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.04,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1166)"
2026-03-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.88,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1168)"
2026-03-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.02,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1170)"
2026-03-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.44,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1172)"
2026-03-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.13,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1174)"
2026-03-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.94,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1176)"
2026-03-31,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.87,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1178)"
2026-04-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.08,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1180)"
2026-04-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.99,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1182)"
2026-04-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.28,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1184)"
2026-04-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.44,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1186)"
2026-04-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.31,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1188)"
2026-04-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.14,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1190)"
2026-04-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.86,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1192)"
2026-04-08,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.15,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1194)"
2026-04-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.03,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1196)"
2026-04-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.14,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1198)"
2026-04-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.54,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1200)"
2026-04-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.31,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1202)"
2026-04-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.04,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1204)"
2026-04-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.97,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1206)"
2026-04-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.13,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1208)"
2026-04-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.94,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1210)"
2026-04-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.29,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1212)"
2026-04-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.53,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1214)"
2026-04-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.21,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1216)"
2026-04-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.15,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1218)"
2026-04-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.89,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1220)"
2026-04-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.11,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1222)"
2026-04-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.05,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1224)"
2026-04-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.17,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1226)"
2026-04-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.52,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1228)"
2026-04-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.4,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1230)"
2026-04-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.04,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1232)"
2026-04-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1234)"
2026-04-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.18,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1236)"
2026-04-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1238)"
2026-05-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.24,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1240)"
2026-05-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.52,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1242)"
2026-05-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.2,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1244)"
2026-05-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.12,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1246)"
2026-05-05,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.92,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1248)"
2026-05-06,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.06,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1250)"
2026-05-07,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.02,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1252)"
2026-05-08,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.2,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1254)"
2026-05-09,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.39,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1256)"
2026-05-10,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.35,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1258)"
2026-05-11,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.05,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1260)"
2026-05-12,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.87,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1262)"
2026-05-13,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.18,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1264)"
2026-05-14,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.93,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1266)"
2026-05-15,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.19,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1268)"
2026-05-16,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.6,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1270)"
2026-05-17,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.19,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1272)"
2026-05-18,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.07,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1274)"
2026-05-19,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.95,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1276)"
2026-05-20,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.07,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1278)"
2026-05-21,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.98,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1280)"
2026-05-22,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.26,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1282)"
2026-05-23,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.4,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1284)"
2026-05-24,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.36,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1286)"
2026-05-25,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.09,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1288)"
2026-05-26,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.84,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1290)"
2026-05-27,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.17,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1292)"
2026-05-28,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.97,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1294)"
2026-05-29,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.16,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1296)"
2026-05-30,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.54,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1298)"
2026-05-31,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.28,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1300)"
2026-06-01,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.98,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1302)"
2026-06-02,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.92,kg,Production Issue,"Shing-a-ling","Admin","Batch production of Shing-a-ling (#1304)"
2026-06-03,RM-001,"Food Grade Sunset Yellow / Orange Dye",1.05,kg,Production Issue,"Shing-a-ling","Elena Rostova (Lead Baker)","Batch production of Shing-a-ling (#1306)"
2026-06-04,RM-001,"Food Grade Sunset Yellow / Orange Dye",0.89,kg,Production Issue,"Shing-a-ling","Marcus Vance (Shift Mgr)","Batch production of Shing-a-ling (#1308)"
